Date,Course,RaceNumber
01/10/2013,ST,8
01/10/2013,ST,9
01/10/2013,ST,10
06/10/2013,ST,1
06/10/2013,ST,2
06/10/2013,ST,3
06/10/2013,ST,4
06/10/2013,ST,5
06/10/2013,ST,6
06/10/2013,ST,7
06/10/2013,ST,8
06/10/2013,ST,9
06/10/2013,ST,10
09/10/2013,HV,1
09/10/2013,HV,2
09/10/2013,HV,3
09/10/2013,HV,4
09/10/2013,HV,5
09/10/2013,HV,6
09/10/2013,HV,7
09/10/2013,HV,8
12/10/2013,ST,1
12/10/2013,ST,2
12/10/2013,ST,3
12/10/2013,ST,4
12/10/2013,ST,5
12/10/2013,ST,6
12/10/2013,ST,7
