Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,2,HEALTHY HAPPY  (D435),A Badel,V/TT,"Chased pacesetter on outside, led 250M out, kept on well final stages to keep runner up at bay.",2022-01-01,4
2,4,LUCKY EXPRESS  (D026),A Hamelin,E/TT,"Held up near last, responded well from 500M, moved up to 2nd near 150M, held by winner closing stages.",2022-01-01,4
3,6,EXCELLENT PROPOSAL  (D386),J Moreira,E,"Reserved behind midfield, took a while to pick up on entering straight, did best work late to go 3rd near 50M (Jockey : would be better suited with a step-up in distance.)",2022-01-01,4
4,7,MASTER MONTARO  (E142),M L Yeung,B-/CP2,"Tracked leader, raced keenly early stages, ran on same pace on straightening, held 3rd until 50M, no extra late.",2022-01-01,4
5,5,DUKE WAI  (C188),C L Chau,B/H,"Restrained to race in midfield, put in a mild bid turning into straight, always held by leaders.",2022-01-01,4
6,1,CHAMPION'S WAY  (C061),K Teetan,P/TT,"Settled at the rear 5-6Ls off the pace, responded fairly passing 400M, never dangerous to leaders.",2022-01-01,4
7,3,BUDDIES  (C019),M Chadwick,H,"Crossed to the lead nearing 1000M, headed by winner 250M, flattened out and weakened to last.",2022-01-01,4
1,11,CROSSFORD  (G068),V Borges,H/P,"Taken back from gate 11, raced 2 wide behind midfield, commenced move 450M, finished off very strongly to score.",2022-01-01,5
2,4,TURIN REDSUN  (G134),H Bentley,SR,"Began well from gate 1, positioned 3 lengths behind the leader on rail, saved ground on turn, closed off well to take 2nd.",2022-01-01,5
3,2,RISE BRETHREN  (G075),A Badel,TT,"Slowly away, raced towards rear on the inside, saved ground on turn, made good progress in straight to take a place.",2022-01-01,5
4,6,SUPER DYNAMITE  (E199),M Chadwick,--,"Taken back from gate 12, raced towards rear on the outside, a bit closer in the middle stages, very wide turning in, made good progress in straight to make frame without threatening.",2022-01-01,5
5,1,KILINDINI  (E236),J Moreira,TT,"Began well, positioned 1-1/2L behind the leader on rail, same position on turn, hit the front 250M, peaked and headed 100M, weakened gradually thereafter.",2022-01-01,5
6,8,FEARLESS FIRE  (B085),M L Yeung,XB,"Clean jump, raced prominently, 2 wide, there to turn, showed limited response early in straight, ran on evenly final 200M.",2022-01-01,5
7,10,WIN WIN FIGHTER  (E347),R Maia,--,"Moderately away, raced 3 wide with cover in midfield, there to turn, finished off evenly.",2022-01-01,5
8,7,TRUE LEGEND  (D047),M F Poon,B,"Began smartly, sent forward to take the lead, led by 3/4L on turn, peaked and headed near 250M, weakened thereafter.",2022-01-01,5
9,5,FUNCTION PATCH  (E446),C L Chau,B/H/TT,"Moderately away, raced 2 wide towards rear, 4 to 5 lengths back on turn, finished off evenly.",2022-01-01,5
10,3,STORM LEGEND  (G139),K Teetan,--,"Moderately away, raced 2 wide in midfield, same position on turn, showed limited response early in straight, weakened final 50M.",2022-01-01,5
11,12,INDIGENOUS REALM  (D458),K C Leung,TT,"Average to begin, raced 3 wide with no cover better than midfield, similar position on turn, peaked early in straight, weakened thereafter.",2022-01-01,5
12,9,GOLDEN SPECTRUM  (D188),H N Wong,CP/H/TT,"Moderately away, raced at rear throughout, never a factor.",2022-01-01,5
1,6,DARCI JOY  (E161),M Chadwick,B,"Jumped well before eased and shifted to rail, sat front of midfield, closed off and won with something in hand.",2022-01-01,6
2,12,RED ELYSEES  (A005),A Badel,B2/TT1,"Raced at the tail, on rail, swung wide on exit, made good ground and hit the line strongly.",2022-01-01,6
3,7,LUCKY DIAMOND  (D446),K Teetan,B,"Slotted in to race in midfield, 2 wide, continued on nicely to take 3rd.",2022-01-01,6
4,13,SUPER HONG KONG  (D241),M F Poon,B/TT,"Travelled in behind midfield, along the rail, bumped near 400M, ran on fairly.",2022-01-01,6
5,8,SHANGHAI DRAGON  (B114),R Maia,B,"Bumped start, forward to lead on the rail, kicked on until no extra and headed passing 200M.",2022-01-01,6
6,1,PAKISTAN FRIEND  (B370),C L Chau,TT,"Niggled along before settling in midfield, on rail, held up early, ran on until flattened over final stages.",2022-01-01,6
7,4,AI ONE  (E139),B Shinn,--,"Bumped start, raced towards the rear, 2 wide, com-menced to shift out passing 800M, widest on exit, run flattened inside final 100M.",2022-01-01,6
8,2,MURRAY'S PARTNERS  (B426),J Moreira,V,"Took back, in worse than midfield, on rail, took inside run in straight, showed dashes then finished one paced.",2022-01-01,6
9,9,SWOT TROOPERS WIND  (D101),H Bentley,B,"Niggled along, sat box-seat, no dash and lost ground from 150M. (See Incident Report)",2022-01-01,6
10,5,JOYFUL HEART  (C227),K C Leung,CP/TT,"Raced just slightly behind midfield, 2 wide, ran on until no extra passing 150M.",2022-01-01,6
11,3,SMART PATCH  (B398),V Borges,B,"Eased back, in worse than midfield, 2 wide, awkward briefly at 300M, ran on nonetheless.",2022-01-01,6
12,11,FULL POWER  (C426),L Ferraris,B/XB,"Hard ridden forward, sat outside lead, weakened ap-proaching 300M.",2022-01-01,6
13,10,AGILITY STAR  (E247),H N Wong,H1/TT,"Bumped start, worked forward, sat one-out one-back, pressured 750M out, gave ground from straightening.",2022-01-01,6
1,7,NIMBLE NIMBUS  (E249),H Bentley,CP/XB,"Jumped fairly, settled just off the pace 2-wide without cover, hit the front upon straightening and just held on under pressure.",2022-01-01,7
2,13,LEADING FORTUNE  (C441),J Moreira,B,"Began fairly and in last few early, improved steadily along the rail to about 10th some 5L back, switched out for a clear run 200 metres out and ran on to be nearest at finish.",2022-01-01,7
3,10,TURQUOISE ALPHA  (E197),B Shinn,CP,"Soon taken back from a wide gate settling in last few, baulked for a run after straightening, finished off well once into the clear inside the 300 metres, did best work late.",2022-01-01,7
4,6,NOBLE STEED  (A326),R Maia,B,"Gradually taken back from a wide gate to 3-wide with cover in rear of midfield, gained closer rounding home bend and went wider into straight, ran on under pressure while shifting ground, swamped for a placing final strides.",2022-01-01,7
5,12,EEVEE  (E372),M Chadwick,B,"Settled in joint 6th within 4L of pace on the rail, saved ground turning for home, fought on under pressure without threatening.",2022-01-01,7
6,11,FLYING MIGHTY  (D423),H T Mo,CP-/B1/TT,"Taken back sharply from a wide gate, trailed the field to the 350 metres, ran on well under pressure down the centre of the track.",2022-01-01,7
7,4,LIGHT OF WANSHI  (E009),K C Leung,TT,"Settled 3-wide with cover in midfield in 8th, gained slightly closer rounding home bend, came within 2L of pace in joint 4th entering home straight, unable to sustain effort inside final 150 metres.",2022-01-01,7
8,3,JADE PHOENIX  (D179),K Teetan,B,"Pressed forward to lead from a wide gate, obtained rails run over 1200 metres out, travelled keenly in front to home straight but soon headed, swamped for a placing inside final 200 metres.",2022-01-01,7
9,14,STRATHMORETOO  (E426),L Ferraris,--,"Settled within 2L of the pace on the rail in 4th, in similar position turning into home straight, one-paced.",2022-01-01,7
10,2,CITY LEGEND  (A086),C L Chau,B/TT,"Soon taken back travelling in last few, awkwardly placed behind runners from the 600 metres, hung in under pressure passing the 200 metres, kept on at the one pace.",2022-01-01,7
11,1,DECISIVE ACTION  (C152),A Hamelin,CP/TT,"Jumped awkwardly from the widest gate and soon taken back, travelled wide with cover in last few going wider into home straight, one-paced under pressure when forced to check 200 metres out.",2022-01-01,7
12,9,LOYAL AMBITION  (E489),M L Yeung,H/TT,"Travelled keenly in midfield in 7th, became 8th on home bend, slightly worse turning into straight, found nothing under pressure.",2022-01-01,7
13,8,CIRCUIT SPIRITANTO  (E483),A Badel,--,"Travelled 3-wide without cover in 5th some 2.5L back, gained closer to 3rd some 1L back coming onto home bend, soon weakened out of contention after straightening.",2022-01-01,7
14,5,TELECOM ROCKET  (C137),M F Poon,B,"Travelled keenly just off the pace, drifted backward to 5th over 2L back coming onto home bend, folded up quickly after straightening.",2022-01-01,7
1,5,MASTER EIGHT  (E330),J Moreira,--,"Restrained behind leaders, quickened to lead 250M, fought on determinedly to hold rivals at bay final 150M.",2022-01-01,8
2,3,SIGHT SUCCESS  (D375),V Borges,E,"Close up behind leaders, responded well from 400M, pushed winner to the line.",2022-01-01,8
3,2,SUPER WEALTHY  (D108),A Badel,--,"Dropped back, settled at rear but never far off from leaders, had difficulty obtaining clear running 250M, finished off well late but always held by winner.",2022-01-01,8
4,8,VALIANT DREAM  (B416),M F Poon,--,"Close up behind the pace towards the outside of the field, battled on steadily under pressure 400M out, not pace of first 3 final 200M.",2022-01-01,8
5,6,HONG KONG WIN  (C333),M L Yeung,--,"Chased the pace along stands' rail, moved up and challenged for the lead 350M, flattened 100M from home.",2022-01-01,8
6,1,COMPUTER PATCH  (D139),M Chadwick,TT,"Up with the pace, driven near 400M, outpaced by rivals passing 300M.",2022-01-01,8
7,7,KEEP YOU WARM  (D272),H T Mo,B/XB,"Never far off from leaders, driven out 400M, gave some response initially, no extra final 150M.",2022-01-01,8
8,4,VOYAGE WARRIOR  (C247),K Teetan,--,"Up with the pace, responded fairly when asked 400M, soon dropped out of contention.",2022-01-01,8
1,5,LUCKY WITH YOU  (E356),K Teetan,--,"Moderately away, sent forward to take the lead, travelled well to turn, kept on strongly to the line and scored.",2022-01-01,9
2,10,GALLANT EXPRESS  (D442),V Borges,E,"Average to begin, raced in 2nd, 2 wide, there to turn, kept on well in straight to take 2nd, always held.",2022-01-01,9
3,1,CIRCUIT STELLAR  (G076),J Moreira,TT,"Bumped shortly after start, raced 2 wide behind midfield, similar position on turn, made good progress in straight to take a place.",2022-01-01,9
4,4,EXCELLENT DADDY  (E321),C L Chau,TT1,"Commenced well, tracked leaders, 3 wide, there to turn, peaked early in straight, ran on evenly to the line. (See Racing Incidents.)",2022-01-01,9
5,7,STAR BRITE  (G104),A Hamelin,CP1,"Began awkwardly, raced behind midfield on the inside, saved ground on turn, kept to inside after straightening and finished off evenly.",2022-01-01,9
6,8,GRACYLOVE  (D098),M Chadwick,--,"Moderately away from gate 1, positioned 2 lengths behind the leader on rail, saved ground on turn, peaked early in straight, ran on evenly to the line.",2022-01-01,9
