Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 9 (0),RACE 9 (0).1,RACE 9 (0).2,RACE 9 (0).3,RACE 9 (0).4,RACE 9 (0).5,RACE 9 (0).6,RACE 9 (0).7,RACE 9 (0).8,RACE 9 (0).9,RACE 9 (0).10,RACE 9 (0).11,RACE 9 (0).12,RACE 9 (0).13,RACE 9 (0).14,RACE 9 (0).15,RACE 10 (0),RACE 10 (0).1,RACE 10 (0).2,RACE 10 (0).3,RACE 10 (0).4,RACE 10 (0).5,RACE 10 (0).6,RACE 10 (0).7,RACE 10 (0).8,RACE 10 (0).9,RACE 10 (0).10,RACE 10 (0).11,RACE 10 (0).12,RACE 10 (0).13,RACE 10 (0).14,RACE 10 (0).15
1,9.0,KEEP-A-PIN (N283),D Whyte,J Size,125.0,1158,1,-,6 3 2 1,1:23.15,2.1,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,SUPREME GENKI (M387),G Mosse,A S Cruz,130.0,1095,8,2-1/4,1 1 1 2,1:23.50,26,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14.0,DOUBLE MOON (N137),K C Leung,P O'Sullivan,114.0,1033,5,3-1/2,8 7 6 3,1:23.71,28,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,AFFECTION (N365),B Prebble,J Moore,124.0,1157,13,5,9 8 7 4,1:23.94,18,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,DEMON DEMON (N292),Y T Cheng,Y S Tsui,133.0,1120,4,7-1/4,3 4 5 5,1:24.30,16,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,PERFECT HEDGE (M217),U Rispoli,B K Ng,126.0,1064,9,7-3/4,4 6 9 6,1:24.37,6.2,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,PILLOWIN (CL357),C Y Lui,A T Millard,108.0,1250,6,8-1/2,11 10 8 7,1:24.52,99,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.0,KING OF THE DAY (CL324),C Y Ho,D J Hall,123.0,1044,2,9,2 2 3 8,1:24.60,99,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.0,CHAMPION MOUNT (CK087),R Fourie,S Woods,131.0,1216,7,9-1/4,10 11 11 9,1:24.64,26,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,PERFECT JOY (M182),Z Purton,C H Yip,120.0,1124,3,10-1/2,5 5 4 10,1:24.82,4.5,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13.0,SPECTACULAR AWARD (CK364),W M Lai,K L Man,118.0,1089,10,11,7 9 10 11,1:24.91,96,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.0,SUPER HORSE (CL308),A Suborics,C W Chang,128.0,1142,12,13-1/2,13 12 12 12,1:25.31,48,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.0,ELEGANT FRAMES (N240),W C Marwing,P F Yiu,132.0,1164,11,24-1/2,12 13 13 13,1:27.05,10,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4.0,GOOD HONG KONG (M314),O Doleuze,C S Shum,130.0,---,---,---,---,---,---,2013/01/12,ST,6,Class 4,1400M,60-40,GOOD,"TURF - ""C+3"" Course",13.59,35.86,1:00.16,1:23.15,,,13.59,22.27,24.30,22.99,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,WINDICATOR STAR (N233),Z Purton,C Fownes,132.0,1171,12,-,5 4 1,0:57.02,2.9,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,HAWTHORNE (CL136),T Angland,A Schutz,128.0,1076,2,1-1/4,2 2 2,0:57.22,25,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,DYNAMIC VOYAGE (P066),W C Marwing,K W Lui,121.0,1116,6,1-1/2,4 3 3,0:57.28,11,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,SIR EAGLES (M403),U Rispoli,S Woods,133.0,1136,10,2,9 6 4,0:57.35,6.4,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,BIG FOUR (P102),O Doleuze,C W Chang,119.0,1106,4,2-3/4,12 11 5,0:57.45,15,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,SEASONS STAR (P058),D Whyte,A S Cruz,122.0,1069,9,2-3/4,7 10 6,0:57.47,3.7,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5.0,STREET CAT (CK037),M L Yeung,T K Ng,121.0,1113,11,3-1/2,11 12 7,0:57.59,27,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,XI YING MEN (CL352),Y T Cheng,Y S Tsui,121.0,1077,8,4-1/4,1 1 8,0:57.69,7.8,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12.0,BRILLIANT PROPOSAL (N392),R Fourie,D Cruz,118.0,1153,3,4-3/4,6 8 9,0:57.76,67,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,EASTERN PROMISE (N196),B Prebble,D J Hall,120.0,1083,7,6-1/4,10 7 10,0:58.00,16,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13.0,GERONIMO MEADOW (N226),C K Tong,C W Chang,115.0,1074,5,8,8 9 11,0:58.32,99,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4.0,PRECISION KING (P134),A Suborics,C W Chang,127.0,1182,1,10-1/2,3 5 12,0:58.71,99,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,6.0,DANE PATROL (CL078),T Queally,B K Ng,122.0,---,---,---,---,---,---,2013/01/12,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.30,34.38,57.02,,,,13.30,21.08,22.64,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.0,RACING HERO (N157),Z Purton,A Schutz,125.0,1184,8,-,1 2 3 4 1,1:48.95,6.2,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,PERFECT CHEERS (M341),C Y Ho,C Fownes,130.0,1137,6,3/4,4 6 6 2 2,1:49.07,11.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,CHAMPAGNE DAYS (CL024),W C Marwing,C W Chang,125.0,1047,3,1,9 10 10 6 3,1:49.11,4.6,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.0,HAPPY CHA CHA (CK296),T Queally,Y S Tsui,121.0,1051,4,2,10 8 7 7 4,1:49.28,13.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,CLASSIC JEWELLERY (M329),D Whyte,J Size,130.0,1035,13,2-1/2,8 9 9 3 5,1:49.35,6.2,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13.0,GREAT RENOWN (CK359),K C Leung,R Gibson,114.0,1095,10,4-3/4,11 12 12 10 6,1:49.71,22.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,NEW GREENFIELD (M282),B Prebble,D Cruz,120.0,1088,1,6,2 4 5 9 7,1:49.92,5.3,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,EURO SWIFTLY (CK091),T Clark,K L Man,122.0,1117,5,7,12 11 11 11 8,1:50.06,20.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.0,REGENCY KING (N040),Y T Cheng,A S Cruz,131.0,1203,11,8-1/4,6 1 1 1 9,1:50.29,45.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5.0,PLENTIFUL (CK319),T Angland,P F Yiu,128.0,1090,14,9,14 14 14 13 10,1:50.39,23.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.0,HAPPY TUMBLER (CL048),M L Yeung,D J Hall,129.0,1175,7,9-1/4,13 13 13 14 11,1:50.42,35.0,2013/01/12,ST,8,Class 3,1800M,85-60,GOOD,ALL WEATHER TRACK,13.75,36.67,1:00.40,1:25.52,1:48.95,,13.75,22.92,23.73,25.12,23.43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
