Target Feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Date End,Date Begin
R King,-0.3434454691743432,-0.022971125079275016,-0.34288334050192215,-0.1327792466766545,2.148219061023757,-0.8737102691299488,0.9193743339862408,-1.8111866146821085,-1.6223654674643506,-0.4630278238410637,1.0106450990008917,0.27600681832004015,1.7412819199868201,0.25753760280124943,-0.293582068735551,-1.4839597363558932,0.5113214996922077,-0.20318173784553795,-1.5945533163668126,-0.9092528328474141,0.21177843608637498,1.2571176403065882,-0.10881377378789427,0.19476660277118038,0.1584006609525569,-0.008842351331428078,0.1654641789179258,0.3332873980335336,-0.08158395028822821,0.42888353514009736,1.9369327462718542,-0.1821526047353253,-0.5241474660772609,0.6583263453137906,0.028088695680680318,-0.21460836878809553,0.05075395114995847,-0.5636044135363429,-2.531999855995152,-0.5260812566260847,0.2987493081017819,-0.9639236279204088,-0.5914588632005936,-0.9353386096242329,-0.23397348381501848,-2.518948309708055,1.1066442226676714,1.2495078613557267,-0.758373630356839,-0.7703854344133146,2025-07-16,2025-05-21
K De Melo,-1.1070396606315385,1.360887464705046,-1.0050513824040301,-2.227802545455659,-0.572188745870267,0.9941154592441444,0.4566083501053999,0.09584155428807203,0.42054475518297574,0.3786447856809226,0.40220571645800496,0.6254487669231402,2.019783568946088,1.324315670625135,-0.4227417100979617,1.0157530349765387,0.33031316208593786,1.3661197401123517,0.48345896443518255,-0.045600169490124215,0.6149398934369895,0.33376300889720106,0.03427390917264506,0.43218886588877975,0.3268534013619516,0.7379243514544149,-0.00288187620329223,-0.43412934664968594,-0.04669077457589209,0.8137679045665303,-0.1897330271354974,1.1073613978128247,-0.9607912911518197,0.7959779048051582,-0.14260159975189377,0.266417399754592,0.7364547823083052,-0.6803038164669076,-0.9322392259554363,-1.053572431882624,1.5790238106535925,0.21268287812737233,-0.4100011299155044,-1.0000303917029647,1.4708364870512027,1.1913815305430797,-0.6702728404364446,-0.31386707124576496,-0.8589888691978596,-0.1832500913279474,2025-07-16,2025-05-21
C Schofield,-1.2653657267695146,0.8023083556025606,0.9852869210682078,1.0237703790029564,0.24030345350807145,0.2222519646287433,-0.739530118270905,-0.6756464822921762,0.2643092356999778,0.4899393129073023,-1.4515545708146982,-0.9798148700113263,1.441293887353395,0.9124341230741099,-1.2135529723142096,-0.8552553389176684,-0.16977756504978836,0.2360126105468926,1.4113243571819576,0.6882694922933225,0.7009456981956197,0.6093207910012092,1.2654358610507475,0.8439971472119905,-0.14062819381070177,-1.264128428736438,0.36034923333105273,0.02544327607861,-0.006752102283784606,0.4850018104679777,0.6755594054217013,1.0932217105473228,0.6258014346599934,-0.1859253907327557,0.06358527012119441,0.3613529074504699,-0.21519644252781664,-0.33536795696541705,0.8752548781459988,-0.40029157676044647,-1.0049992004705415,-0.3816658731479571,0.5543983549276759,1.7750271824863884,-0.2653847402194629,0.27188450173885315,-0.893767918892964,-0.4360608103053106,-0.36414735215452787,0.18668073342109145,2025-07-16,2025-05-21
Y Kawada,-0.9352071944874976,0.9420786113344742,0.7543251537584216,-0.8954457889909987,1.5711252553132993,0.17620987077564482,0.9946832579687461,-0.6244720352001467,1.5083001444143913,-1.7092286104547016,1.0172201536734797,1.2484417274289756,-0.31181141369428894,-0.22953132181386232,-0.5999843114341283,-0.24506825846426064,1.0228958418888074,0.19762876458805367,0.4778305777551657,-0.24501158574069232,-0.4941321222076548,0.37473223596507294,0.17236890518121664,0.3914752566820856,-0.40312930583169215,-1.077584392962009,-0.41077554101399494,0.07366905575098891,0.3663441257507203,-0.3714056927040218,-0.9921176771517202,0.4287294683889587,-0.9906583223027112,0.19865800725747784,0.13823898901354817,0.14687148883508327,1.1324120835356497,-0.21532528199368783,0.8733475691778608,0.784968726922496,-0.18323574472641668,-0.3057422444258301,0.5145426173726961,0.24197044065356885,-0.5231105459382606,0.5934687952655507,0.4799340586800174,0.585979469177938,0.04806314481534868,0.7102544051279261,2025-07-16,2025-05-21
A Domeyer,-0.6577958888458655,-0.09948506348028796,0.9393232281503526,0.3139764716096963,-0.38545961025588477,-1.0372182881457295,0.8016462950787789,0.42402328624752567,0.41334075739866033,0.004764028428751907,0.29230955442552653,-1.0905152081318594,0.18243586448087398,-0.7825046360599596,-0.4367683261365016,0.6276972764162282,0.6077400105049225,0.5042635529912052,0.719244992750549,0.11608586149819675,-0.679099407062178,-0.31658598021407514,0.1368580692670283,-0.06091654383945467,0.010932975186306627,-2.0588554284711535,-0.7723419129003987,0.3415106231030745,-0.4108563273609004,0.22068792608356788,-0.2739630667593623,-0.3913215887683494,-0.5394470003618483,-0.1277858197262951,-0.24972278449459895,0.9139806125479535,-0.1416342362813901,-0.6927170669004469,0.029954015533329634,-0.8414004605932673,0.2744735116791967,0.43055253862379866,1.0464081117597652,-0.6482027270649052,-0.0046228013519582995,1.3126769969834382,0.9819669554820567,-1.0566074748337302,-0.8513366870197624,0.4227298279341947,2025-07-16,2025-05-21
R Ryan,0.5451208689481429,-0.07994114941921414,-0.3433189023240167,-1.030439270538889,-0.6983018446722232,0.14243711563255523,-0.2633202478157679,0.9486485970747786,0.11598764376305663,-1.243355795752261,-0.24746326422823423,0.11252745613119891,0.6575960721941726,-0.42604077286336123,-0.24760600729506907,-1.3884404739192366,-0.4139952000216234,1.6427242817082095,-0.8435258842385353,-0.030495026588598543,1.519348314404279,1.8102254829316844,0.19414274714631458,0.08140394590869802,0.1976619491529244,-0.38397816479196917,0.48232704205757615,1.6247475893797605,-0.61065522586607,-1.499975613329828,1.1011016707664982,-1.8477608914569774,-1.3967900357766083,-0.6244601587334413,-1.4559614401215524,1.168663246228869,-1.0417047276401792,-0.009381620700322701,1.1379234824986946,-0.14610510278142158,-0.048604637082460336,0.5966414137956415,-0.3193992609104867,-0.18001428732280025,-2.8518542878679773,0.1894782483711187,-2.5412384682168057,-0.24745189734277984,0.47534272129472893,-2.1947380394746325,2025-07-16,2025-05-21
K Stott,-1.372043277348636,-0.4758100550060691,-0.2655494506164019,1.2745343218722798,0.16405252623021543,0.26031678049656803,-0.8657788076075439,-0.9447902693117233,-1.679716124750753,-0.5086207744074778,0.09117650599419357,-0.09037500315960587,0.7801677188113131,-0.20664162313517428,-1.3049642509339308,-0.8125079126097154,0.3604097715271829,0.058303695677908496,-0.5734887207628425,0.20330430954302695,-0.18704279115659356,-1.3583702133819746,2.0873424943110193,-1.0369516622327757,-0.7304061466070185,-1.5984143956171577,0.144680444675796,-0.08588686806794901,-0.18710911977652972,0.14595671309632163,1.4224454319453044,-1.2710456266548518,0.5852350516035787,-1.3630832103841697,0.4011166314395926,-0.15398569159409373,0.8442925705933803,-0.06631759010074392,1.1332617232726518,0.8138581479935834,-0.05390180516412921,-0.5477497991204919,0.08756450527628555,0.5700223702401362,-0.49845213239604647,-0.2945254393049514,0.036452282339599455,-0.7587256008997628,1.2270984595168561,-0.9045942754958732,2025-07-16,2025-05-21
O Murphy,0.06558542366611778,-0.6627688299871294,1.1872578580881572,0.2218228052257462,-0.46408687907486096,-1.0313352194484162,-0.8173634869297566,-0.13349426012564775,0.17601793310616992,-0.18679151372101405,0.7453606176784775,-0.797833654960152,-1.2903815057403505,0.3647316565659867,0.11547498603889336,-0.33575950717506625,-0.9876780726777763,0.4956793225966296,0.05063040125664952,-0.24540607679654403,-0.45959911796655195,-0.17608229937323305,0.766288673798715,-1.0530169781815815,0.16012663228040186,0.4183382928023251,-0.37299799337629114,0.877677111730011,0.7124958600045382,0.9242921956783131,-0.8611725278172725,-0.4455700326531084,0.18619709167228296,0.22252149720107994,0.18183893074015606,-0.016707175382800993,0.0005159433034764001,-0.4488943453252511,1.3027607784507789,-0.6657054127888292,-0.6622175979161163,-0.8348170733265775,-0.502072943173655,0.7444706364808397,0.16847249586037322,0.39418601212244425,0.6972765286249057,0.3578496173436528,-1.4448472628529125,0.7555919424768648,2025-07-16,2025-05-21
H Bowman,0.21189843903778693,0.667382333298225,0.18346518747616244,-0.0485077166727745,-0.431211138953534,-0.04148539680579255,-0.1696379091606293,-0.4422908049132123,-0.3969743981741257,-0.00612047725365471,-0.16219558556678043,-0.32905331968216783,-0.18669250489208056,0.22594803869211344,-0.170008042756353,-0.7398502805401136,0.48279334140576363,0.5584065448492344,0.25002153630049095,-0.24338440607579115,0.2538403568669006,-0.37759442429301365,-0.526649820446564,0.01926762233903632,0.18394576319846928,-0.7827351090657563,-0.567938439955798,0.32768417186634086,0.7654990232855359,-0.10309348859333772,-0.23251989937489168,1.1411995067667273,0.21996819499058415,-0.028133885911369352,0.05477457302493752,0.18172193919003365,-0.11077438733548053,-0.020907280779403573,-0.24620706077017024,-0.335826169073806,0.18557198945961306,-0.6254028430278809,0.09934012974859771,-0.8964617025924128,0.38779672401622295,1.1557274081040512,-0.009942739523052547,0.13320261552351553,-0.5481495777753934,-0.20846337084970815,2025-07-16,2025-05-21
C Wong,-0.20100977633582492,-0.19850956429145497,0.15695853213391073,0.8845083247242447,-0.39673446028082454,-0.9359014341414326,0.6554983768477888,-0.09555356248266883,-0.6246060782058462,0.36211823184636477,-0.7192528066925463,-1.143671753091885,-0.20831582167565718,0.7636611910607543,-1.094634222655221,-0.7521976833730586,0.46782194731849125,-0.13918938515853138,0.026452538672846557,-0.7952189097900023,0.6280111264395948,-0.05299986906408172,0.12888864320051344,-0.25048152090818393,1.403971538669284,-0.32181972965370836,-0.4536651822785633,0.37398574772956855,-0.9100349307904625,0.45403851250117344,-0.11121395973854403,-0.18184153883344423,1.8200702164546767,-0.5258631991137255,-0.6399589458948388,0.11687237972925184,0.34644283727164243,-0.27372242347321624,-0.30782803704354594,1.4700517734214857,-0.6712311352086372,-1.3128552199704284,-0.10555635002440954,-0.7525415255265575,-0.9366745285414674,0.0646006616324138,-0.05919145756350109,-0.1523712842975556,0.3514681894632775,-0.08971769055553087,2025-07-16,2025-05-21
