Target Feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Date Begin,Date End,Trailing Days
SAVVY TWINKLE,0.3428445939123086,-0.678651926067806,0.6191273582033694,0.15199227266930815,0.1732565342420832,0.1512100755703769,0.7366235070830036,0.0851748114593602,0.5243328154174606,-0.09905986302135417,-0.6563663373972428,0.23803779637339298,0.3844692135586052,0.7620044637496357,0.6660237350960717,0.217192579173405,-1.0371610973170613,0.6256435774358837,0.16922727715758917,0.8405783698729916,0.5668620518202394,-0.9569018939498581,0.5441613277984757,-0.07461782242497389,-1.334680967207829,1.212981924134361,-0.28051433325362507,0.3100865260960411,-0.27211666695689046,0.6765502461237148,0.0491400625727535,-0.3300441517164235,-0.3913888971285204,0.13044183001125725,-0.6622852044551625,-0.15276040496132748,0.9778576659484509,1.238503300081782,-0.7545489301676388,-1.2258569504428287,-0.40260997713703783,0.3262249849677927,-0.13787136672097094,-0.7698371686752893,0.5263625894056052,0.3033923541776955,0.1426574590686172,-0.45761534090519346,-0.2806012789375736,1.0638274134423682,2025-05-21,2024-11-22,180
STAR BROSE,-1.404566385281242,-1.0191798785782957,-0.02523401122964548,-0.41686277279353234,0.9061999395788572,-1.80225009057959,-2.848644535972731,-0.0887510316968729,-1.308001942139966,-0.5239108766179186,-1.0345517930075736,-2.101905739763905,-0.6941904710832824,-0.450073722736714,0.041588372822397385,-0.22465592962279013,2.0115344453432757,0.7498515936935164,0.08874555501432009,1.534228532699177,-1.4844151195631063,-0.09378611424227051,-0.8782885727784985,-1.6183593215125367,-0.7635412522913241,-0.3663144415677644,0.6745776493737371,0.20689165558889241,1.361034434519436,1.3464045818978625,0.16976102442007915,0.2353074214748625,-2.426114712929137,-0.8641889189565488,0.2829928259501794,0.7063123120958626,-1.1256556956172175,1.6940063657799107,-0.42847811035052114,1.1358142791138095,-0.06590267366655998,-0.17726443948238385,-0.18318690256670722,0.24955973821876268,0.4043493375895235,2.1236971277666994,-0.41694695986762403,-2.7597502498256814,0.45398865707587327,-0.04881708273050016,2025-05-21,2024-11-22,180
SUPER ELITE,-0.8900713881194123,0.24693569869355328,0.37882048601079454,-1.450728354670961,0.20490717361640798,-1.5150973824215814,-0.8345918106027793,0.9196670363239697,-1.4224474087554837,1.4472354225847701,0.4819724929562141,-1.2027351824851704,-0.09429343346555145,-1.8231822698074032,-0.31971921005470566,-0.013867613694317056,0.43995722811272536,0.6416114935092294,-0.5658448494984373,-0.8298497596493377,1.2134946957214712,-0.023304597096121937,0.4680977889758906,-0.13155806264541423,0.3328145123491902,-1.1985516875891047,1.3535543400150036,0.2666425621069432,-1.9977936098378113,0.7407537101063952,1.0887871452721203,2.3108021951276454,-0.9323670841427621,-0.5486406555909756,0.17841263732550341,-0.27863278686360715,-0.0005200608262973675,-0.5110452389899052,0.02059647707327234,1.217118855007213,-0.7249054668900573,-1.2445623755112476,0.31391274917473416,-1.8214806584762597,-0.7933555504868587,1.050019543307092,0.6852143064147244,0.9059313752472787,-0.09614836791651178,1.0393731473302668,2025-05-21,2024-11-22,180
BEAU CADEAU,-0.1208175161038736,-0.9370668220514468,-0.7613064719924819,-0.6093910701571885,-0.12397189565568503,0.1520624098576642,0.6547584982921681,-1.272299537669415,0.18316661988306387,0.5153134430964602,-1.837486262544468,-0.030976036163606873,-1.1219931389563313,-0.20746200083667682,-0.21000007637156168,-0.06893755020957168,0.7731701464393287,-0.6558616825600697,-0.9813100965569053,0.45600978442956114,-1.0977001109960136,0.561248570775963,0.5464556251825216,0.09800292229534847,0.7015421238121394,-0.5289213103649527,-0.8669678738477719,-0.043316972512191784,-0.4512486723667154,-1.3448050693304772,-0.1387933303168004,0.4526844608362743,0.7023327408939215,1.356738815945388,1.0221659888891064,1.5950464350508118,0.1005140521280512,-0.19127390772406433,0.025542779583736512,0.11373454974624493,-0.08356319470054396,0.8312872009929857,-0.039152769546457966,0.8352885180634616,0.26460018794864054,-1.493330056432289,-0.5649258273699821,-0.2962386833854502,0.4861568908815062,0.17483904800655925,2025-05-21,2024-11-22,180
NOBLE PURSUIT,1.696556654346126,-0.022408859059332348,0.11133732991450149,1.222546725401661,-1.2313559035863215,-0.49888829221151154,0.027234092713309732,-0.8350607050411576,-0.17533846617298143,-1.0406418887694024,-0.6977835940206606,-0.7263133906122125,0.2247127320780235,0.8379091795079536,-0.8579422327535763,1.3013964361890455,-2.338171889679643,-0.08104584110601809,0.867553892380851,0.6900894927569389,-0.6336324863926304,0.4275435242253889,-0.30245707434877245,-0.011890394594366674,-0.06978414958121738,0.2408489158960167,1.289509118519321,1.2114422827065157,0.45596923475458406,-0.6866275599161984,0.19703790734665255,1.6140479183510954,0.15770666010761303,0.771624640254336,-0.5815672992558724,-0.1393842389437399,-0.1320131773310918,-0.20251945500399862,0.37808490807833933,0.20736539779655536,0.017794951578806985,-0.3712197876636967,-0.6480998832738957,0.05378984935206231,-0.2061565120940604,-0.2484818973852359,-0.3909747003230838,-0.6603009816006016,-0.004177957284133401,-0.06727863786704898,2025-05-21,2024-11-22,180
JUBILATION,1.3649760083080464,-0.3810201676061741,-0.5751158938038688,0.4780370904714051,-0.033960597049545356,0.41232596493159174,-0.5279420256933655,-0.657823235735793,0.1577106043319622,0.004751471489739866,1.2926082621824095,-0.46488863616164866,-0.27816871812554544,-1.2128161879904047,1.1947989292253203,-1.3767823086467434,-1.4678614572857045,0.7475861112453037,-1.3865373049509468,1.604951105315136,-0.8129046779802032,-0.8754082512047445,0.7924494801955851,-0.1482687313230517,0.9336058333168465,-0.4821763076026889,0.5533622467873303,0.3649224308210799,-0.1622164396388311,-1.4638081389476787,-0.7735983398628278,-0.9787700443162092,-0.6541557686135414,0.17667404900991954,-1.2909508370492722,-0.44108982486537146,-0.8837972328686844,0.6512671843493055,0.3242686678917238,1.0632423363417014,-0.0696644369418514,0.42097074140334967,1.313985928619062,0.10079106057825803,-0.6892210412476559,0.6980422730344277,-0.7699905013718482,-0.3315126971209183,-0.050045645804968175,0.05892484869304176,2025-05-21,2024-11-22,180
JOHANNES BRAHMS,0.28061851905584523,0.20491291966009484,0.5500569387021865,0.07533577710626918,-0.27862442845178476,0.2043029619486665,0.587563521920553,-0.41478753751795994,-0.3988746016457531,-0.022221478165960165,-0.11906152450645163,-0.6038404641017452,-0.3225453082689921,0.10962818772567824,-0.44276109738550606,0.3106942362630564,0.44524559767893523,0.058059874871876485,-0.1570370884422123,-0.2764888053200686,-0.11148606649092996,-0.8499242103110405,-0.15219518760460748,-0.5876275036080673,-0.27629688145484477,-0.30963422057037965,0.1188888388972829,0.014056359510776667,0.3733025188387986,0.38585382394478257,0.9330844669663959,-1.0999533444474094,-0.746880852968388,0.023532632523437153,0.2441802375461777,-0.2261120758862471,0.13008305684439747,-0.0030534369705082164,-0.393734925751241,-0.19680008267234303,-0.16179274675280428,-0.19306293413731562,0.1868401063914121,-0.3052839850785785,0.2857807301564178,-0.3529393627162915,-0.11465953228398672,-0.12114843493090008,-0.5317724938721303,-0.08925950627510706,2025-05-21,2024-11-22,180
RUN RUN TIMING,-0.41649417658799487,-0.09418802035742871,0.132831761780354,-0.10093450419084014,0.003795300314584067,-0.06194985242288549,0.033035455567537564,-0.28130210755256224,-0.7277452296131318,-0.3853374186741284,-0.012487089732123886,0.2964067796009478,0.6807224695509989,0.5359554450279526,-0.024721530811566788,0.6475402662052991,0.3021617214310458,-0.29207688995192765,0.07764813305251678,-1.0170011003314026,-0.05029912434614344,0.302185867309622,0.021359492128617572,0.2952218548775486,0.2593281950304158,-0.36757919486672874,0.3468455864251481,-0.11789646691599198,-0.08976095256774728,-0.2747377423975156,0.3783393364320585,0.4391489677425192,0.5535337313113907,-0.33236449523813816,0.29801375274970204,0.43674148425783355,-0.05769016842161031,-0.6725990743285499,0.5570969550937609,0.4978173862399423,-0.28744599784801467,-0.2784268535625749,-0.01214012105468079,0.312388420501219,0.029486393175720757,0.283438570427828,0.668080863380378,-0.12672276233019422,0.01903419415184152,0.2028298373837788,2025-05-21,2024-11-22,180
LADY'S CHOICE,-0.10775667274034399,-0.08016394740174297,0.19719517795255204,-0.07495125869500688,0.42649066181892076,-0.03068266636596846,-0.591524403838474,-0.17798004045886906,-0.25818911834850244,-0.20102323258419993,0.040638135582611035,-0.09659765359473309,0.12876128990519706,0.027609873478605683,0.28393483098458466,-0.1602316332063724,-0.07698572150849842,0.1113976146786951,0.11518020621509285,0.022293161747622667,-0.535719766035259,0.14529617631471603,-0.0722002052488719,0.3036263104263521,0.1546411310081276,-0.6380365143683377,-0.42909544426464397,-0.018846291743098004,0.2849954667735913,0.23417940766832387,-0.32198732374636657,0.39372669941007093,-0.41796965978275563,-0.06951483450787033,-0.2573490560898275,-0.1700406876349324,-0.10751370448908647,0.25953437677976554,-0.3513566704964109,-0.1308070446124071,-0.11657026658116809,0.25965006104235183,0.32755535085626286,0.2157676433502265,0.1720209918015234,-0.2833373614822331,0.4092010553891154,0.5582008133124876,-0.21994990875896783,-0.29558519461926397,2025-05-21,2024-11-22,180
FLYING DOUBLE,0.15337723638621314,0.4229855297887885,0.9680071979539043,-0.1291128885042188,-1.4430066195485092,0.947337788143023,0.7722510881909949,0.04843050389328282,0.33309265740314764,-2.190041411791485,0.18022892181716238,2.1929713666409643,1.3748954962354463,1.7082414319669053,1.2537688169324526,2.254865934544226,-1.379240583579459,0.05514307766671076,-0.3523309583841398,0.32167910746425227,0.6106238515259198,-0.5978972408677483,0.5521276816468348,-0.31294258640078837,-0.03572509826890045,0.6175709396044448,1.8534917364811618,0.6044218340926822,-1.6436108172399881,-0.45818042827444283,-0.3298678455961865,-0.34600539351400017,-0.6697924853497396,0.0816784364880614,-0.9334475291458116,0.26010673297587006,0.5193788754995746,0.06798802593618648,-0.830034093307792,0.7240249774793648,-0.039494150521441056,0.12452826807174124,0.10868124524764369,0.09382367014116931,0.03712016997532952,-0.5372788908223048,0.12989290015773217,0.3678398304603077,1.1052335960639716,-1.0337240868181716,2025-05-21,2024-11-22,180
