Target Feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Date Begin,Date End,Trailing Days
H W Lai,1.5497369886849404,0.3983422192695727,0.4826331049089358,0.6422935751772109,0.1773995409822334,0.47094942774636783,0.9421379505660151,0.013474502548079184,-1.3437523306260943,-0.21876662103187372,0.8768090919607883,0.7880341096673501,0.944342315393019,0.35225595315409736,0.4163709782377488,-0.7943187129845253,-1.1696833836136005,-0.9867272706768945,-0.15238637780333356,0.7547983503788915,-0.5825161363009108,0.09197348504140593,0.5992644750081558,0.32909510285045723,0.8286293787828147,-0.8856149659413736,-1.134338152653984,0.07945873081425153,0.3140983743882646,0.26478899618206225,1.4713658037711645,0.4371828094319415,-0.10330085976729453,0.3036168287546335,0.09296796647319217,-1.0198489455997657,-0.0022761379286315277,0.3329528120499218,-0.37714755968149594,0.3301387328795663,-0.2111993247897676,0.24467703797198154,-1.1728826829307963,0.01884805505006455,-1.0887060892833804,0.8325039824923494,-0.3282439832212348,1.0402177370568475,-0.87960910979727,-0.07867694959618471,2025-05-21,2015-07-13,3600
M Walker,-0.4552665196723004,0.32084197260985475,0.24294707039573854,-0.11730764422723372,-0.8083854885395034,-0.15604773219502535,0.02329429353026573,-0.7191625706309662,0.8848034618259951,-0.6877562315306593,0.7491876498132425,-0.28328083335702847,-2.400488246362945,-0.518905114801863,0.9533265965048436,-0.14026438868313162,-0.6616166623037283,-0.4716240077110456,1.0213956125909227,0.2195897650494843,1.0464710798391563,0.10538642589194937,0.36355424935620334,-0.4752773002321812,-0.24077391343827534,0.8483792589276044,-1.4301347380056122,-0.5271772194653708,-0.44602425782974214,-1.0826127489624726,1.5165311956853045,-0.7126550056242548,-0.8594741161020152,-0.32067387362262617,-0.305444077739542,-1.071281526816597,1.0848197639272872,-1.289663678840101,0.7456388701538715,0.3767829390125464,-1.274831728965696,-0.7232041893310837,0.7914533913380978,0.5225751866630713,-0.0970747175350041,-0.4357910788117226,-0.8724010869406824,-1.2643959289408622,-0.8481695901400784,-0.4110112907209472,2025-05-21,2015-07-13,3600
T H So,-0.8432065465854526,0.6241174221064738,-0.5156018250929566,-0.12483847596175555,-0.8569489399840261,-1.2032112590339463,-2.2975749060825397,0.944464029099645,0.44001208599367514,0.8107208704164038,0.2727703136325096,-0.6581250120579945,0.15900305083157737,-0.6124528537754568,-0.04993514422513016,-0.3806295219177295,-1.157937486879615,0.4124044878157924,-1.6523069020627037,1.245928385644431,-0.629651357647483,-0.45828381454000355,1.1155788473106063,0.5153022127553442,-0.7913247296261806,-0.2748917143683154,-0.2797357577576238,-1.052360174808906,0.36862123682665904,1.4550584108288287,0.6161864507892713,1.473041034388127,0.8629368699739427,1.283805776271374,-0.10770611559651262,-0.06638769965603833,0.17950427896952317,-0.9374827443826882,0.8953191986339238,0.0671474617578153,1.5350118620213482,-0.44777453362947595,-0.1996625093629577,-0.6766471336002142,-0.13811384427832565,0.7326346435349522,0.9520473170894455,-0.715849672196626,-0.22972793518668352,-0.05249087050374565,2025-05-21,2015-07-13,3600
W J Lee,0.32427673184608996,1.8642454795519896,0.03568750412592837,0.7512331536664125,-0.16848350390414896,-0.09924936716299386,0.40464782723143694,2.472174857664369,0.3041434466444009,1.1613812942082655,-0.5369679069526143,-1.022422675765542,-0.22754253087330575,0.4964018611934142,1.1027211293594106,0.24175823331442972,-0.2602670919353054,-0.06747512801999886,1.4016848432681548,-0.2694159528981759,0.7827776305247857,-1.677989554051433,1.7872292648281152,1.219490047251214,0.672454506097926,-0.06075092946476631,-0.7334484758119885,-0.6245443622236054,-0.09493782292526161,-0.5835873954887122,0.2752383082000672,0.9534098374100582,-0.4327888060001666,-1.3270924238412463,2.0884734127466413,0.695277374879949,0.2533047384844249,-0.651553273571536,0.4372733182852633,-1.5372081825641368,0.1898904484559093,-0.5271252792939926,0.5674914030765388,1.3152056637826763,0.9438460957715098,0.15679517688666456,-0.13856306123775883,0.11271824334814096,0.9283835697348294,0.19619924139058575,2025-05-21,2015-07-13,3600
K C Ng,-0.32742543707620897,-1.0335583086924336,1.0368411455054487,0.8444557719831999,0.7675995783754194,0.7666194318393127,-1.1497596919236506,-1.1532914298829489,0.3639786877559819,-0.013244019103014454,-0.6587400443587852,0.46852160862226644,-0.506029558275421,-1.5557692571623534,0.0870021463889271,0.5889013441466046,1.3524383984814572,-1.0615250565423717,0.1558860188908932,0.4430472545032133,-1.1782283026880622,-0.14310676520875817,-0.8756091906118468,-0.12938099987251694,-1.48389021401043,0.1748122928453247,0.8946402905429132,0.3135865436312532,-1.4603604614619596,0.8787110234038491,0.8598838081992168,0.24176486026983807,-1.033728843660043,-0.6146517181224351,-0.8361185174461523,0.9152769409484159,1.1432566507277886,1.0145492627804449,-0.3384856740464975,-0.10620420963676785,2.6017696159540566,-0.4868234472183781,-0.6842524457078006,0.9418659995781415,0.15456073792090108,-0.3022097685883981,-0.1412155533326285,1.0069818995935864,-0.7300245198155547,-0.5202087552621029,2025-05-21,2015-07-13,3600
M Harley,0.910123947639792,0.3322003271518077,-0.9986629778218451,-0.2721525923609242,0.7938257797822847,0.22458725942194283,0.2516597186021269,-1.4920320327757086,0.18414056396738274,-0.33102269599087064,2.300475193426531,-0.15410154256983988,0.1574810782794149,1.4106626455949816,-0.27828138649875456,-0.8953921015967273,-0.2392507446726122,-1.1387160809181813,1.1058692232568614,0.12673357444690822,-0.33648864593445,0.6014827485947298,0.25117165388732177,0.42565452585092894,0.05627744726249405,-0.5560376174744622,-0.23606113205913104,1.0872361120560428,-1.4411647232131126,-1.7239505193037694,1.1088519161993824,1.2440911857786785,0.9766189547863122,0.44471276874325594,-0.1471252961687182,0.4751978959188177,0.6796258652197726,-0.21701212153688182,0.3953631017183801,1.0621268511835047,1.0598193902250508,0.7103976256073243,-0.0246574975935975,-1.628378087848775,0.1563536842244946,-0.4438456227636334,1.5737709468887484,0.6034064277668312,0.3444248693292847,-0.5029110197591653,2025-05-21,2015-07-13,3600
T Berry,-1.2197770434051207,0.6803228459471901,0.6657824706653349,-1.115426412967985,-0.7089905642945671,-0.6632327670791838,-0.6702525914999076,-0.4197795941282875,-0.1490656485168665,0.9262089948249639,1.5947347772649934,1.0477968616171924,-0.12088655356627524,-0.19209286559250893,-0.3548067866113925,1.9619616649093297,0.039110027113853064,0.33252646026676175,-1.3679131993504543,-0.6680436658015271,0.9549445866116261,-0.2098647228225128,1.3607573946933917,0.2796927484234967,0.34368383204033265,-0.7329631724390533,1.5820037312312278,-0.8188508201575391,-1.540479270950042,-0.19380461917084582,-0.8051279673533843,0.7870775473773909,-0.4936846410388438,0.46356885165326106,0.5837194646149767,0.669221942131549,-0.4799032522334571,-0.6621912358060387,2.1206561712886067,0.9797529149611365,1.7886834956166275,-1.2420211699523782,-0.009386722645509549,2.0846183462435937,-1.818083249210288,-0.665049326758263,-0.3107312299113238,-0.2626728627583743,-0.5178771023313942,-2.161332773406918,2025-05-21,2015-07-13,3600
A Domeyer,-0.7507452821576422,-0.09690800638437569,0.15753547496304607,0.38389092741060243,0.5511091752531257,-0.29817249139705465,-1.3548073428226817,1.107450254235834,-0.5198008370133749,0.29587950137557395,0.37045855687979123,-1.3066788167658085,0.3051038840483686,-0.19784386746105947,0.12861232170273568,-0.9647755197688926,1.294584597472532,-0.6933216365146648,0.7134813839405326,0.24689150204461174,0.09493983561241504,0.4064189399176344,-1.1429534552500271,-0.39691602267437254,2.051352781223443,0.6157385974198144,0.7263444960188672,1.345331081098667,0.4474368567254876,0.8019537325644726,0.814693616983587,0.30234134246446936,0.026236249788789665,-0.3054737514429037,-0.5679754737298289,-0.35781941263213973,1.1533315943593603,-0.5102579563478021,-0.635518124456205,-0.9232761613288086,-0.7499763683058559,0.6456004158902581,-0.5074532343702454,-0.8195939309188649,-0.8388350945727704,-0.20750533952983707,-0.7267250794920842,-1.3414274056283477,0.9755168046073509,-0.38175309900446314,2025-05-21,2015-07-13,3600
A Sanna,1.2490447585074,0.05088765756109569,-1.0183813537146196,-0.309972492733957,0.6426982611268908,0.9709373704625562,0.023251735069028008,0.8310121956702055,0.9142784328632975,-0.20813038792698074,-1.1422997607886531,-0.5753429177794624,0.08566521699441827,0.7622713911694575,1.2640781458641595,0.816723498123563,0.058810987522845,0.4985087452374497,0.00040664893464442816,-0.8069078916467562,-0.397025952698446,-0.8877347126198823,0.18957565634207385,1.3770004962181919,0.40326257774031365,0.12813244820824415,0.25172008951343033,-0.054946636231317146,-1.056709515888097,0.26639985268307637,1.2830216396081413,-0.7594030318548687,-0.40663947022536673,1.594259620318793,-0.03979907699270769,-0.03205643685683396,-0.2785571629814097,0.6819490800768103,0.4954855485428847,-0.8217356718382404,0.15229087083866616,-0.13962459883577794,0.566219678265669,-0.21266157690465082,-0.6902088433362707,-0.392073210609857,-0.34500946148667844,-0.384932741479171,0.3965251654810697,0.046366629252845105,2025-05-21,2015-07-13,3600
K Maruta,-1.0631888916535688,-2.355948451076467,-0.5066645012209936,0.40119642656490595,1.014006977976709,0.744661517213287,1.4651281804972867,1.6782530849974118,1.8983709827402642,0.2630415764355865,0.2506093266316075,-0.24161794359910807,-2.499601113955765,-0.8812956920637462,1.3401266785950725,-0.5069762261634461,2.095070068960103,-0.3532849129285917,1.11639896154429,-0.5733948061082955,-0.5088327891166275,0.018171339118913648,0.17400798757789354,-0.3752054877577142,-1.080414593106045,-1.0957185785588588,0.035739562110341114,1.5727181352955777,-1.6811090519124954,1.0015350678319173,1.0293435867148923,0.24209067936617246,-0.6136953819799681,0.001337605192040788,-2.061115289947255,0.8681084001166486,-0.673121355543108,-0.43082820768278274,1.0858873219547973,0.0501379460241706,0.7743667405923655,0.10615505604972489,-0.02719178137103758,-0.6861761578441964,1.00325646523862,0.713433997658726,0.6298776011161266,0.41229927190411425,-0.4758411600414549,-1.5385328496506703,2025-05-21,2015-07-13,3600
R King,-0.8929155145766339,-1.3753624601472039,1.1198650184495724,0.048092883859159545,0.3104210142332919,0.043204964418783576,-0.9266512685372956,1.9023047614840007,-1.183997713464384,-0.6182388559701382,0.2641069764362822,0.6196065315713778,-0.5684712320713416,0.15159313523644188,-0.3489749400211343,0.44731662913424924,-0.03948124592111819,-0.4266607428723949,0.39773321078288854,-0.8252240518557109,-1.0474501179492914,0.44154146135859407,0.950784135155292,-0.4085203515433248,0.16232645695260522,1.4999378091150242,0.7627976499717306,0.05176558330962169,-0.22277696640261066,-1.6035070487747847,0.5301212059495746,1.0030154979591264,0.3078992752025308,-0.2170252529659455,-1.3835969243484088,1.1753257684288927,-1.0859520613126665,-0.9483581794171203,1.0045559343189203,0.18962996756457037,-0.20739050481042284,-1.3005592225626974,1.5302590517765744,-0.03916420058203815,-0.7125491187623931,0.16344110293664002,-0.7919200990930789,0.566465654110767,0.4324775264348073,0.3238383569590195,2025-05-21,2015-07-13,3600
