Target Feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Date End,Date Begin
C Williams,0.8643789595188861,1.5299253553092764,-0.1497616627541987,0.3232991470951455,-0.6252427376986363,0.0891896154846375,-0.8620733726337768,0.33756959272878057,-0.7225261026883437,-0.44817586091196965,0.10972894932322542,-1.631141394987405,-0.37118887295811703,-0.14630802242370058,-0.6065125314543869,-0.33599214894606283,1.2474029700601985,-1.1202813357008943,0.4999778790278354,-0.8940929625060773,0.08929126070562346,0.25516635573415825,0.25184664527874073,0.13546368929105226,0.2771636923638643,-1.3665697231338931,0.08889812806524093,0.8705853334390099,-0.9217994579409932,-0.6123232039035182,-0.7305269097912205,-0.8643379423288393,0.1301316988977781,1.4164939092457012,-0.6735422823473826,-0.16234081594030203,-0.06764752880585093,-0.33139496478106867,-0.6610443816838811,-1.3600868660810737,-0.235606778172746,0.6768152492882616,0.1755123540648758,-0.8861855220616727,0.39621114557010995,0.02175175215032898,-0.5430391822385912,-2.220668358308575,0.2872899622032571,-0.9489410047903788,2025-07-16,2025-05-21
C Y Ho,0.04351465832834234,0.03588552791760734,0.03713717947179981,0.6043829515612098,0.03615764650601488,0.4803957223859854,-0.2504193263323402,-0.16500893367865388,-0.3970076694162317,0.7741779867803336,-0.8556077084249321,0.06664517814342467,0.044923203723377145,-0.4425433345675217,0.540597814865962,0.5011288799305648,-0.13480825927540824,0.2042279913442729,-0.7639554469420158,-0.14878760879778807,-0.2783872146645688,-0.2699245116209112,-0.6810911018848188,0.521043303036885,0.0008750525300443169,-0.25230058556226587,-0.1306894417376041,0.7069100962357711,-0.08684320841367733,-0.6906730581272178,0.3065974965013651,-0.18808377130075624,-0.46548170540689227,0.10493274672268076,-0.3947508013812478,-0.2860800460510793,-0.6058904812874905,-0.08204911811579739,0.01301698992687465,0.1165104110585538,0.6979804719161393,-0.42652028464301145,-0.25538078163100075,-0.6382947426733734,0.3217913699967225,0.17846252548170796,0.3583340040395009,-0.10607722588032856,0.24037384243756052,-0.4655113086951055,2025-07-16,2025-05-21
T Berry,0.3355868551766133,0.7940598654186838,-0.19707560339114746,1.6685018231432895,0.07150094200537556,-0.8932611876949127,0.35484373442771966,0.5729795891499655,-0.9103596833732015,-1.5948579409276573,-0.3218876643808004,-0.03311368644196415,1.328672999116223,0.013985632936965859,0.19479313631504944,-0.20147873420874957,2.213219634292532,0.8697468957932538,-0.6071072828859411,0.2723488857043088,0.7944256021478143,-1.1477040592287056,-1.016835968923008,-0.8223511633000659,-0.22512532648104872,-0.5133486746882263,-0.10825592988099246,0.35873992526966764,-0.6267737274059734,1.1128926837766258,-1.0877917648141293,0.11895557023493772,2.396289858264898,-0.3416210234596063,-0.4658875995634942,0.14892771908661206,-1.2106075864653578,-0.909873506232873,1.1663583717240795,-0.29075214380135095,1.091751216387046,-2.8813816217312342,0.9012123407825471,-1.232015620053759,0.09145781911628292,0.2893229158282808,0.19073681274668533,1.4932616856098087,-0.7644278064351568,-2.5231871225689266,2025-07-16,2025-05-21
L Hewitson,0.18121245208178538,-1.1360025413103294,-0.03477400243048598,2.039836639604058,-0.17364590781737926,0.4981236228326703,-2.014771305574044,2.6062664683417998,-0.4366165371246453,1.5486789175529112,-0.06235577057457745,-0.7650622691556709,1.0512529306340608,0.3792955625904731,0.4631889476224354,-0.07882130890579744,-0.3563315074501752,-0.059251021223366035,-0.9654106521286056,0.7899519556576184,-0.9820864773328105,0.8095561319823361,2.038944823619898,0.1793256203471712,-1.0847154215731456,-0.4200824136583556,-0.9397230164833104,1.0840999076684346,-0.43088935025500086,-0.40197246045450896,0.382999074309934,1.7547508407415577,-1.2622433808837223,1.0616999657658543,-0.18776885343877328,0.8036632140960821,-1.381187923266967,-0.47364415659345027,-0.524989610651062,0.34112142855031147,-0.07022308325987797,-0.1298266381745142,-0.5811119786470635,-1.6331184393451006,0.11652479358998125,0.03060064628285971,0.16273438527500586,0.9588494968289983,0.5722579695611716,-0.0958800619272132,2025-07-16,2025-05-21
H Bowman,0.2728498988632962,0.9574394514872687,0.03224079476252872,0.8446842139740441,0.293405830196244,0.7010816768178588,-0.11176983385426356,-0.2861849512117778,-0.5057379848594591,0.6706112907390781,-0.6244107559029185,-0.4706407018368644,-0.0032931227949008685,-0.2834624990034844,0.21558783779433208,0.33272757526608254,-0.1975726081216738,-0.5568755620303556,-1.1436463034177096,-0.24365840691205856,0.31091243337004093,0.0064408176469442305,-0.0794870216852421,0.023874234582756733,-0.16235585437563094,0.24691005971194271,-0.4132410909207594,0.6804126490984894,-0.4311316327078984,-0.6179606007587674,0.7492253708318646,-0.11006614275911776,-0.8323108865354458,0.11262235295896234,-0.04883096656005786,0.1272884228318787,0.6139252782948436,0.4621632700459289,-0.2916595496347912,0.08731054890884135,0.4183493632455546,-0.48615248734009614,-0.06008399302414936,-0.49545372877166727,-0.6115842919980636,0.01128116956056122,0.645453754202213,0.15007656759033397,-0.05421553348215195,-0.2010864477068115,2025-07-16,2025-05-21
C Soumillon,0.24817495403736106,-0.35383185100848724,0.1217398862391896,-0.38815490521246027,-0.35555133598959776,-0.7427455076556643,0.2601726379860253,-0.7670207433009468,0.6708256385569594,-0.03856878891778584,-1.1263164833788708,0.009373919617519665,-1.0767188086776223,-0.6908852465222102,0.11703227504595998,0.44559030339620287,-0.0036637468300210513,-0.35330192096795593,-0.31921664511357306,-0.055721952960392146,-0.020254430357199378,0.7953666000434699,0.04053809223609681,0.907013671168124,0.3138312785934549,0.24533226274837477,-1.2375798180884083,0.9685793384365142,-0.9943796893387776,-0.4382803232515746,0.3572867322727376,0.06563060427542784,0.2926797728651929,0.8569632152434811,-0.2760385188962399,0.620222112520976,-0.9741134110858463,0.6948611716229816,0.9763235464125029,-0.21948009167015753,0.8233287302899281,0.2786992664803756,-0.8032981087438912,-0.07236425302165109,0.047520980477591644,0.2217138383820836,-0.26794824154478974,0.3378151897027103,-0.13546189101736641,0.09300480051084307,2025-07-16,2025-05-21
C Wong,-0.02022178642571114,0.36070827786923493,-0.21159171970639634,-0.18394205243029624,-0.8233524518068429,0.6668563424617224,-0.14076950118552975,-0.3703923330227203,-1.1398370468348071,0.05408119636080128,-0.19265285750936656,-0.02646562350045335,0.0021999439376502393,-0.15358941852343486,-1.058123806130835,-0.20670573742687112,0.7002186812653366,-0.9905914158191316,-0.6667581404158555,0.0402633504347784,-0.2283413786468645,-0.6537245555865946,-0.32949933600646764,0.34597078530408093,0.12050221072018276,-1.5332142847585668,1.3630410593874729,1.0311330485333243,-0.08331827482268281,-1.0917433281159639,0.1406670361714661,-0.3086880828591182,-0.2474266139360085,1.9062396329772897,-0.386774427613505,-0.3636484943997846,-0.04659859825237108,-0.6410546602008647,0.04634421055082271,-0.5660237603537172,0.9121773129735197,0.5553394548901202,-0.613665046857633,-1.576986317056369,1.1109321279678535,-0.5402584379573776,-0.31380197365889767,-0.11308347533255582,-0.1962609387740643,-0.3845563953869484,2025-07-16,2025-05-21
W Smith,1.5881651450029481,1.4203253710317296,0.5926011346368554,-0.8049370328931447,0.24593978456765972,-0.39605731194876714,-1.0130577720306557,0.09994395713365603,0.5436020774282936,-0.7195578432324826,-0.13094465349408344,-0.051822551492638654,1.5759496130190278,0.06366360309294923,0.68632535085736,-1.2711584148970005,-0.5572548158973938,0.5928912528873337,0.06817377358591149,0.7406678469272349,0.2177422146058575,-0.3475586603040981,-0.6909287320091291,-1.914287540128644,-0.2267004030804281,0.27489638999058963,0.6403358421361389,0.6259070727207414,0.8633741453793936,0.5014681055390964,-0.8770151063973932,0.28191728582793857,0.00765142427710471,0.7219422916108428,1.1221219715043984,-0.15550467278855268,0.9268665747201388,0.02802780763831943,1.2031857383475,-0.597298445183188,0.334835231684533,-0.06380541637753992,0.45179445375788657,-0.8943674056910048,0.08463671562798145,-1.0709535003382877,-0.4010472382671845,-1.6097976884091236,0.7230294268484903,-0.6189673642291839,2025-07-16,2025-05-21
C Schofield,-0.08780865785656185,-0.3381997816545724,0.4506442057219949,-0.22633287708990005,-0.12836558008629506,-0.12166223859405653,-0.1751814575835348,-0.2701801428545014,-0.1606869100053462,1.141745780181868,-0.0928833239084213,0.04933001781975584,-0.09147823154875853,-0.29555977336143646,0.21434934910482922,0.5262229858769657,0.6373136667779666,0.36084441795932115,-0.4847741565115386,-0.32248692553649067,-0.4048996628702761,0.64579778749377,-0.7352614929591491,0.07462934851575131,-0.05040103507643122,-0.4861597832221365,1.3999652699201626,0.9732494078006919,-0.012921284808098569,-0.5945151085161741,0.6565489151383982,0.12958520217369704,-0.2985342183086159,0.1062377312407762,-1.5453185783210333,-0.5479278594051256,-0.9641804029127283,0.32517879892376306,0.2366283731641166,0.7388634074850858,0.2753700333395211,-0.97301938928708,-0.27533604827234515,-0.34336832072155427,-0.056443231331362184,0.8741648771082069,-0.04120610242000254,-0.005209895775815674,0.09296907726411882,-0.2073344303936744,2025-07-16,2025-05-21
M Chadwick,0.31590589007486825,0.2463745069665519,0.21652899221896688,0.28374257701383904,0.1600457664507875,0.8417322362919896,-0.7815353175006693,-1.1198781084758496,-0.3294690994811925,0.43902593730518785,-0.6885654756033326,-0.3938099519214166,-0.020931211896963807,0.49566746056396993,0.9655382006901041,0.178542489181216,-0.4597743100215884,0.08338267619520753,0.010771198256973027,-0.10672746498133169,-0.39109015587412854,-0.09923946061533578,0.2048501155282196,0.3904457374518671,-0.3234610245944927,-0.6417073733938686,-0.2572393418745036,0.9440591019501835,0.11849890989385593,-0.3366009112217779,0.24042992291196524,-0.46266530262395994,-0.6407239773519735,0.03940610742981657,-0.9377001398734963,-0.30461579944042844,-0.6448507438857994,0.45727686441659227,-0.020510047931062942,0.6529871841653285,1.4632062642577148,-0.5014407593257502,0.33676008735803087,-0.9387841638065794,0.3569532986781134,-0.5237459054566492,0.5655151847705591,0.24902551562014047,-0.47859013108891774,-0.23404930323090742,2025-07-16,2025-05-21
