Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,"('Dividend', 'Pool')","('Dividend', 'Winning Combination')","('Dividend', 'Dividend (HK$)')","('Date', '')","('Course', '')","('RaceNumber', '')"
1,1.0,EIGHTY LIGHT YEARS (H170),E C W Wong,T P Yung,125.0,1266,1,-,2 1 1,1:09.80,2.3,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
2,13.0,CHAMPION INSTINCT (H012),A Atzeni,D J Hall,120.0,1180,6,1-1/2,9 8 2,1:10.02,8.3,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
3,4.0,HANDSOME BOMB (H402),J McDonald,W Y So,129.0,1041,5,2-1/4,7 6 3,1:10.16,23.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
4,6.0,PANDA (H466),K Teetan,C H Yip,129.0,1070,3,2-3/4,5 3 4,1:10.23,7.5,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
5,8.0,PATCH OF TIME (H483),Z Purton,K H Ting,128.0,1152,8,3,10 9 5,1:10.26,14.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
6,3.0,GOLDEN LUCK (H159),H Bowman,K L Man,129.0,1104,7,3,6 5 6,1:10.29,14.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
7,9.0,GANGNAM STAR (H326),M Chadwick,P C Ng,127.0,1090,9,4,11 11 7,1:10.44,21.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
8,2.0,CALIFORNIA ICON (H404),A Badel,A S Cruz,129.0,1150,11,4-1/2,13 12 8,1:10.51,53.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
9,10.0,JOYFUL LIFE (H426),K C Leung,P F Yiu,127.0,1106,12,5-1/2,1 2 9,1:10.69,8.6,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
10,12.0,THE GOOD DEAL (G025),L Ferraris,D J Whyte,122.0,1128,2,5-3/4,8 10 10,1:10.72,21.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
11,11.0,HINOKAMI KAGURA (H384),B Avdulla,J Richards,126.0,1140,10,6,12 13 11,1:10.74,92.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
12,7.0,SPICY GOLD (H440),L Hewitson,M Newnham,129.0,1200,13,12,3 4 12,1:11.72,10.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
13,5.0,HIGH RISE POWER (H353),C L Chau,K W Lui,127.0,1180,4,18-1/4,4 7 13,1:12.70,43.0,2024/01/01,ST,1.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.45,45.95,1:09.80,,,,23.45,22.50,23.85,nan,nan,nan,,,,,,
1,5.0,STORM RIDER (J027),Z Purton,D A Hayes,130.0,1137,12,-,5 5 1,1:09.75,1.8,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
2,2.0,TELECOM DRAGON (H322),H Bowman,C H Yip,132.0,1102,6,2-3/4,9 7 2,1:10.18,3.7,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
3,9.0,SPEEDY FORTUNE (H097),B Avdulla,J Size,124.0,1042,1,3-1/2,1 1 3,1:10.31,6.6,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
4,12.0,CHIU CHOW BROTHER (E188),A Badel,K L Man,120.0,1057,8,5-3/4,2 2 4,1:10.67,38.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
5,1.0,HAPPY GOLF (H056),K C Leung,F C Lor,135.0,1212,9,5-3/4,8 9 5,1:10.69,32.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
6,8.0,MULTIDARLING (H148),H T Mo,T P Yung,123.0,1256,4,6,6 6 6,1:10.69,19.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
7,4.0,MISTER FOX (J059),K De Melo,D J Hall,130.0,1097,3,7-1/2,3 3 7,1:10.94,34.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
8,11.0,SUPER ELITE (H247),M F Poon,P F Yiu,120.0,1099,5,7-1/2,7 8 8,1:10.96,43.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
9,7.0,GOLDEN CHAMPION (H348),C L Chau,C S Shum,123.0,1170,7,8-1/4,11 12 9,1:11.06,80.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
10,6.0,COMMANDING MISSILE (G210),A Atzeni,C W Chang,125.0,1232,2,8-3/4,4 4 10,1:11.16,25.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
11,3.0,KINGLY DEMEANOR (H486),L Hewitson,A S Cruz,130.0,1187,11,9,10 10 11,1:11.19,72.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
12,10.0,COURIER MAGIC (H290),M Chadwick,J Richards,123.0,1075,10,9-1/4,12 11 12,1:11.22,132.0,2024/01/01,ST,2.0,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.90,46.53,1:09.75,,,,23.90,22.63,23.22,nan,nan,nan,,,,,,
1,1.0,C P BRAVE (E306),J McDonald,P F Yiu,134.0,1131,3,-,5 7 7 5 1,1:48.55,3.2,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
2,6.0,SWAN BAY (H062),K Teetan,W Y So,124.0,1117,10,1-3/4,10 10 10 9 2,1:48.82,9.2,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
3,5.0,ROMANTIC CHARM (H227),L Hewitson,C S Shum,126.0,1179,8,4-1/4,7 5 6 7 3,1:49.23,10.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
4,10.0,KIMBERLEY (H329),A Hamelin,J Richards,120.0,1080,4,4-1/2,1 1 1 1 4,1:49.26,72.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
5,7.0,U S S CONSTITUTION (H357),A Atzeni,J Size,124.0,1028,2,6,4 4 4 3 5,1:49.51,17.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
6,8.0,AESTHETICISM (H289),Z Purton,P C Ng,122.0,1040,9,6,8 8 8 8 6,1:49.51,2.5,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
7,9.0,GOLDEN SAMURAI (H024),C Y Ho,K W Lui,121.0,1202,7,7-1/2,9 9 9 10 7,1:49.77,11.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
8,3.0,ENIGMA (J077),L Ferraris,A S Cruz,131.0,1086,1,8-1/4,3 3 3 4 8,1:49.88,59.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
9,4.0,ALL IS GOOD (G269),C L Chau,K W Lui,128.0,1205,6,12-1/2,2 2 2 2 9,1:50.54,51.0,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
10,2.0,SILVER KING (H420),H Bowman,F C Lor,134.0,1149,5,46-1/4,6 6 5 6 10,1:55.96,9.8,2024/01/01,ST,3.0,Class 3,1800M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.86,36.78,1:00.96,1:24.67,1:48.55,,13.86,22.92,24.18,23.71,23.88,nan,,,,,,
1,11.0,FIRE BALL (D087),Z Purton,C H Yip,127.0,1048,14,-,4 2 2 1,1:23.44,6.1,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
2,4.0,STARSHIP EIGHTY (H022),H Bowman,P C Ng,132.0,1262,6,SH,10 10 10 2,1:23.46,5.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
3,10.0,BEAT HOLLOW (G414),M Chadwick,Y S Tsui,128.0,1190,13,1-1/2,1 1 1 3,1:23.66,35.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
4,12.0,BROTHER PEARL (H030),L Ferraris,C H Yip,123.0,1044,4,1-3/4,9 9 9 4,1:23.70,22.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
5,8.0,CHARMANDER (G437),C Y Ho,J Richards,130.0,1155,10,1-3/4,13 13 12 5,1:23.71,11.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
6,5.0,APEX TOP (D136),C L Chau,D J Whyte,129.0,1233,5,2,2 3 5 6,1:23.75,11.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
7,13.0,FOXHUNTER WAY (E296),L Hewitson,K W Lui,121.0,1052,1,3-1/2,5 6 6 7,1:23.98,31.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
8,2.0,SPANGLE FORTUNE (G427),K C Leung,K L Man,134.0,1086,7,4,3 4 3 8,1:24.06,25.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
9,6.0,CASA LEGEND (G126),A Atzeni,C W Chang,131.0,1166,2,4,12 12 11 9,1:24.07,8.2,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
10,3.0,PERFECT PEACH (E488),K Teetan,A S Cruz,132.0,1090,8,4,8 8 7 10,1:24.09,6.1,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
11,1.0,NORDIC COMBINED (G015),J McDonald,W Y So,135.0,1079,11,4-1/4,7 5 4 11,1:24.12,6.2,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
12,9.0,CHARMING STEED (E494),E C W Wong,C Fownes,120.0,1092,3,5-3/4,6 7 8 12,1:24.37,14.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
13,7.0,HAPPIHOOD (H261),M F Poon,W K Mo,129.0,1102,9,9-1/2,11 11 13 13,1:24.97,132.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
14,14.0,JUST GREAT TWO (G174),K De Melo,D J Hall,117.0,1054,12,11,14 14 14 14,1:25.20,90.0,2024/01/01,ST,4.0,Class 5,1400M,40-0,GOOD,1.0,"TURF - ""A"" Course",13.43,35.59,59.24,1:23.44,,,13.43,22.16,23.65,24.20,nan,nan,,,,,,
1,5.0,DREAM PURSUER (G241),H Bowman,K L Man,128.0,1228,6,-,6 6 5 1,1:23.75,14.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
2,12.0,LUCKY PLANET (H235),K Teetan,D J Whyte,119.0,1086,1,1/2,3 3 3 2,1:23.83,4.7,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
3,8.0,GOLDEN RISE (H242),Z Purton,J Size,127.0,1015,7,3/4,7 7 8 3,1:23.89,2.9,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
4,7.0,DIVINE ERA (D507),K De Melo,K H Ting,127.0,1157,2,2-1/4,4 4 4 4,1:24.11,8.5,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
5,10.0,CAN'T GO WONG (H087),K C Leung,F C Lor,124.0,1159,8,3,8 9 7 5,1:24.22,26.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
6,9.0,RIVER VIEWS (G212),E C W Wong,T P Yung,116.0,1167,4,4,2 2 2 6,1:24.38,4.9,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
7 DH,1.0,FUN N GLORY (G003),M Chadwick,W Y So,135.0,1193,5,5-1/4,5 5 6 7,1:24.58,12.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
7 DH,11.0,ISLAND BRIGHT (H363),L Ferraris,P F Yiu,124.0,1076,3,5-1/4,1 1 1 7,1:24.58,83.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
9,4.0,CHILLI BABA (G339),A Atzeni,P F Yiu,128.0,1168,10,6,9 8 9 9,1:24.72,17.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
10,3.0,LUCKY GOLD (G112),C Y Ho,K W Lui,132.0,1201,11,7,11 11 11 10,1:24.88,18.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
11,2.0,UP AND UP (H163),C L Chau,C S Shum,132.0,1096,9,7-1/2,10 10 10 11,1:24.94,52.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
12,6.0,SHINE BRIGHT (H385),M F Poon,C H Yip,126.0,1031,12,15-1/4,12 12 12 12,1:26.20,103.0,2024/01/01,ST,5.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.61,37.22,1:00.65,1:23.75,,,13.61,23.61,23.43,23.10,nan,nan,,,,,,
1,3.0,ENDEARED (H161),Z Purton,J Size,133.0,1037,10,-,5 4 5 1,1:22.40,3.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
2,5.0,CELTIC TIMES (G230),H Bowman,W K Mo,130.0,1229,9,3/4,9 9 7 2,1:22.52,7.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
3,2.0,BEATO (H090),J McDonald,A S Cruz,133.0,1144,5,1-1/4,10 10 12 3,1:22.59,6.9,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
4,8.0,SMART FIGHTER (H278),K Teetan,P F Yiu,127.0,1158,12,3-1/4,1 3 3 4,1:22.93,11.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
5,7.0,GOLDEN BULL (H019),C L Chau,C S Shum,127.0,1167,8,4,6 6 6 5,1:23.03,7.3,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
6,1.0,WAR OF COURAGE (C483),K C Leung,K L Man,135.0,1291,1,4-1/2,3 2 2 6,1:23.11,20.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
7,9.0,KASI FARASI (B385),L Ferraris,C H Yip,124.0,1105,6,4-3/4,11 12 10 7,1:23.15,22.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
8,12.0,MACH TEN (G382),M F Poon,P F Yiu,118.0,1286,11,5,12 11 11 8,1:23.19,22.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
9,13.0,YOUNG HORIZON (G272),L Hewitson,D A Hayes,118.0,1199,4,5-1/4,4 5 4 9,1:23.24,16.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
10,10.0,YEABOI (G372),K De Melo,C H Yip,122.0,1119,2,7,7 8 9 10,1:23.52,35.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
11,11.0,MORE RICE (H271),M Chadwick,T P Yung,121.0,1208,3,8,8 7 8 11,1:23.67,15.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
12,4.0,SUPER TEN (D362),E C W Wong,C W Chang,122.0,1264,13,8-3/4,2 1 1 12,1:23.79,80.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
PU,6.0,GALVANIC (H147),C Y Ho,C Fownes,130.0,1069,7,---,13,---,14.0,2024/01/01,ST,6.0,Class 4,1400M,60-40,GOOD,1.0,"TURF - ""A"" Course",13.60,34.92,58.27,1:22.40,,,13.60,21.32,23.35,24.13,nan,nan,,,,,,
1,8.0,TAJ DRAGON (H164),A Atzeni,P C Ng,116.0,1031,7,-,6 5 5 1,1:21.98,6.8,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
2,3.0,HEALTHY HAPPY (D435),A Badel,F C Lor,117.0,1195,8,2,3 1 1 2,1:22.29,13.0,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
3,2.0,BEAUTY JOY (E058),J McDonald,A S Cruz,123.0,1042,4,2-3/4,7 7 7 3,1:22.40,4.2,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
4,5.0,FANTASTIC TREASURE (E269),L Hewitson,D A Hayes,117.0,1195,2,2-3/4,5 6 6 4,1:22.40,17.0,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
5,7.0,ATULLIBIGEAL (G173),K De Melo,D J Hall,117.0,1075,6,2-3/4,8 8 8 5,1:22.41,10.0,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
6,6.0,REWARDING TOGETHER (D334),M Chadwick,F C Lor,116.0,1215,5,4,2 3 4 6,1:22.64,76.0,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
7,1.0,CALIFORNIA SPANGLE (E314),H Bowman,A S Cruz,135.0,1215,1,4-1/2,1 2 2 7,1:22.71,3.3,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
8,4.0,RED LION (H115),K Teetan,J Size,115.0,1131,3,7-1/4,4 4 3 8,1:23.15,3.4,2024/01/01,ST,7.0,Group Three,1400M,,GOOD,1.0,"TURF - ""A"" Course",13.83,36.12,59.07,1:21.98,,,13.83,22.29,22.95,22.91,nan,nan,,,,,,
1,4.0,GLOBAL HARMONY (G337),J McDonald,D A Hayes,131.0,1171,1,-,12 12 14 1,1:22.54,2.4,2024/01/01,ST,8.0,Class 3,1400M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.31,35.03,59.33,1:22.54,,,13.31,21.72,24.30,23.21,nan,nan,,,,,,
2,3.0,SWEET ENCOUNTER (G426),A Atzeni,J Size,132.0,1196,3,1/2,11 11 6 2,1:22.65,10.0,2024/01/01,ST,8.0,Class 3,1400M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.31,35.03,59.33,1:22.54,,,13.31,21.72,24.30,23.21,nan,nan,,,,,,
3,11.0,LOST CHILD (G461),B Avdulla,C W Chang,122.0,1200,13,2,13 13 9 3,1:22.87,10.0,2024/01/01,ST,8.0,Class 3,1400M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.31,35.03,59.33,1:22.54,,,13.31,21.72,24.30,23.21,nan,nan,,,,,,
4,14.0,HAPPY DAILY (E294),A Hamelin,C H Yip,118.0,1078,6,3-1/4,2 5 7 4,1:23.06,11.0,2024/01/01,ST,8.0,Class 3,1400M,80-60,GOOD,1.0,"TURF - ""A"" Course",13.31,35.03,59.33,1:22.54,,,13.31,21.72,24.30,23.21,nan,nan,,,,,,
