Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 8 (443),RACE 8 (443).1,RACE 8 (443).2,RACE 8 (443).3,RACE 8 (443).4,RACE 8 (443).5,RACE 8 (443).6,RACE 8 (443).7,RACE 8 (443).8,RACE 8 (443).9,RACE 8 (443).10,RACE 8 (443).11,RACE 8 (443).12,RACE 8 (443).13,RACE 8 (443).14,RACE 8 (443).15,Unnamed: 16,Unnamed: 17,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 9 (0),RACE 9 (0).1,RACE 9 (0).2,RACE 9 (0).3,RACE 9 (0).4,RACE 9 (0).5,RACE 9 (0).6,RACE 9 (0).7,RACE 9 (0).8,RACE 9 (0).9,RACE 9 (0).10,RACE 9 (0).11,RACE 9 (0).12,RACE 9 (0).13,RACE 9 (0).14,RACE 9 (0).15,RACE 10 (0),RACE 10 (0).1,RACE 10 (0).2,RACE 10 (0).3,RACE 10 (0).4,RACE 10 (0).5,RACE 10 (0).6,RACE 10 (0).7,RACE 10 (0).8,RACE 10 (0).9,RACE 10 (0).10,RACE 10 (0).11,RACE 10 (0).12,RACE 10 (0).13,RACE 10 (0).14,RACE 10 (0).15
8,11.0,TRUST ME (C134),L Hewitson,C H Yip,126.0,1136,12,5-1/4,2 2 8,1:09.65,9.8,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5.0,GREEN N WHITE (H186),S De Sousa,P F Yiu,129.0,1175,13,5-3/4,11 12 9,1:09.75,4.5,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.0,PACKING PRESENT (H043),M F Poon,C S Shum,127.0,1170,11,7,7 8 10,1:09.96,94.0,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,MISSION BRAVO (E383),V Borges,K H Ting,130.0,1196,7,9,12 13 11,1:10.25,128.0,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.0,MR MAJESTIC (G145),M Chadwick,D J Whyte,134.0,1126,14,9-1/4,14 14 12,1:10.30,99.0,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.0,SMART BEAUTY (G477),Y L Chung,A S Cruz,111.0,1076,1,10-3/4,9 10 13,1:10.54,110.0,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,HAPPY FAT CAT (G166),H N Wong,P C Ng,132.0,1053,4,13-1/4,1 1 14,1:10.93,27.0,2023/02/19,ST,6,Class 4,1200M,60-40,GOOD,1.0,"TURF - ""A"" Course",23.46,45.85,1:08.82,,,,23.46,22.39,22.97,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,CARROLL STREET (D489),K Teetan,D J Whyte,122.0,1114,9,-,6 3 1,0:55.85,2.9,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,TRILLION WIN (E240),A Badel,K L Man,133.0,1283,8,SH,5 2 2,0:55.86,5.3,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,WINNER METHOD (E178),M F Poon,C S Shum,116.0,1315,3,1,9 8 3,0:56.02,5.6,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.0,METRO WARRIOR (D387),S De Sousa,D A Hayes,117.0,1199,6,1-1/2,1 1 4,0:56.10,11.0,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,FAMILY FOLKS (D505),K C Leung,C W Chang,124.0,1142,7,3-1/4,7 7 5,0:56.35,44.0,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,PING HAI GALAXY (C377),Z Purton,J Size,133.0,1126,1,4-1/4,3 6 6,0:56.53,9.9,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,WINNING DREAMER (D358),C Y Ho,F C Lor,134.0,1213,2,4-3/4,2 5 7,0:56.62,12.0,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,IMA SINGLE MAN (D476),Y L Chung,A S Cruz,125.0,1181,4,5-1/4,8 9 8,0:56.70,9.4,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,WHIZZ KID (E392),M Chadwick,A S Cruz,135.0,1155,5,5-3/4,4 4 9,0:56.78,9.9,2023/02/19,ST,7,Class 2,1000M,100-75,GOOD,1.0,"TURF - ""A"" Course",13.24,33.69,55.85,,,,13.24,20.45,22.16,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,RUNNING GLORY (G010),H Bowman,J Size,135.0,980,9,-,8 7 8 7 1,2:03.41,5.7,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,BUTTERFIELD (C462),Z Purton,C S Shum,134.0,1181,2,1/2,3 3 2 2 2,2:03.49,6.9,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.0,FIVE G PATCH (G286),M Chadwick,A S Cruz,120.0,1013,3,1,4 5 5 4 3,2:03.58,2.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,ENJOYING (D066),Y L Chung,W Y So,108.0,1185,7,1-1/4,2 2 3 3 4,2:03.60,11.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,RISE BRETHREN (G075),A Badel,C S Shum,130.0,1074,4,2,6 6 1 1 5,2:03.74,8.7,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,NEARLY FINE (E430),K Teetan,C Fownes,124.0,1126,8,2-1/4,9 9 9 9 6,2:03.78,22.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,ABOVE (B345),S De Sousa,A T Millard,115.0,1061,1,2-1/2,5 4 6 5 7,2:03.81,32.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,CELESTIAL POWER (D393),C Y Ho,F C Lor,123.0,1172,5,4,7 8 7 8 8,2:04.05,25.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,DROMBEG BANNER (H117),M F Poon,P C Ng,113.0,1058,6,12-3/4,1 1 4 6 9,2:05.45,11.0,2023/02/19,ST,8,Class 2,2000M,100-75,GOOD,1.0,"TURF - ""A"" Course",26.31,52.51,1:16.79,1:40.19,2:03.41,,26.31,26.20,24.28,23.40,23.22,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,GOKO WIN (H069),H Bowman,C H Yip,130.0,1055,10,-,12 12 1,1:09.02,31,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,MAGNIAC (H141),Z Purton,J Richards,121.0,1195,12,1-1/2,1 1 2,1:09.25,5.8,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13.0,WONDER KIT (G455),L Hewitson,K W Lui,119.0,1107,9,2-1/2,2 2 3,1:09.42,14,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,SUPREME LUCKY (G457),M F Poon,C S Shum,122.0,1226,11,2-3/4,13 13 4,1:09.45,2.5,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,PULSAR STRIDER (G407),C L Chau,T P Yung,119.0,1141,6,2-3/4,5 4 5,1:09.47,15,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,CALIFORNIA RAD (D147),Y L Chung,A S Cruz,122.0,1252,3,3,4 5 6,1:09.51,14,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,YOUTHFUL DEAL (G340),C Y Ho,F C Lor,121.0,1205,4,3,7 6 7,1:09.51,3.7,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,SETANTA (G095),K C Leung,D A Hayes,127.0,1171,2,3-3/4,11 11 8,1:09.60,40,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.0,DECISIVE TWELVE (D280),M Chadwick,W Y So,121.0,1144,7,4-1/4,10 10 9,1:09.71,39,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,TAJ DRAGON (H164),S De Sousa,P C Ng,119.0,1012,1,5-1/2,8 7 10,1:09.92,96,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.0,WINGS OF WAR (H162),K Teetan,A T Millard,134.0,1170,8,6-1/2,9 8 11,1:10.06,25,2023/02/19,ST,9,Class 3,1200M,80-60,GOOD,1.0,"TURF - ""A"" Course",23.72,46.43,1:09.02,,,,23.72,22.71,22.59,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
