Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,5,DIVINE DIYA  (P030),T Angland,--,"On rails behind midfield of bunched field most of way, snuck up on inside turning in, but then baulked for a run until 200 M out, quickened well to soon assert authority.",2013-01-01,1
2,7,GOOD GOOD VIEW  (P053),Z Purton,TT1,"Towards the rear of the bunched field, saved ground turning in, baulked for a run until 300 M out, made up good ground inside final 200 M to be nearest at finish.",2013-01-01,1
3,2,NIGHTLIGN  (CJ145),M L Yeung,B/XB,"Jumped moderately, never far off on rails, baulked for a run upon straightening, failed to quicken under pressure.",2013-01-01,1
4,9,TRUE COURAGE  (M394),U Rispoli,SR/TT,"Amongst leaders early, positioned in half length 2nd on rails around the bend, hit the front and broke 1L clear over 300 M out, died on its run inside final 100 M.",2013-01-01,1
5,10,NOVEL START  (M255),M Chadwick,--,"Began fairly, well there early, steadied to 4th or 3rd and within 2L of lead around the bend, failed to quicken under pressure and faded inside final 100 M.",2013-01-01,1
6,3,AFFECTION  (N365),N Callan,CP/TT,"Settled in rear of midfield, drifted out under pressure after straightening, ran home one-paced.",2013-01-01,1
7,8,PEARL WIN  (P085),H W Lai,--,"Jumped awkwardly, soon dropped to the rear, did not find much room behind runners the majority of straight, kept on to the line.",2013-01-01,1
8,6,KARL MARX  (N395),B Prebble,H,"Began moderately, settled in midfield, similar into straight, one-paced before fading closing stages. (Blood in trachea.)",2013-01-01,1
9,14,SUPER BROTHER  (M299),W M Lai,B/TT,"Raced very wide without cover throughout after beginning well from a wide gate, gradually dropped back under pressure to forward of midfield coming onto home bend, similar turning in, found nil in the run home.",2013-01-01,1
10,13,GRACYTOM  (CL408),C Y Ho,--,"Jumped awkwardly, raced wide in rear of midfield of bunched field, shuffled backward rounding home bend, no further impression.",2013-01-01,1
11,1,KA WAI FORTUNE  (N255),K C Ng,B/TT,"Travelled wide in forward of midfield of the bunched field, took closer order home bend, 3-wide into straight, soon weakened.",2013-01-01,1
12,11,FORZA  (N276),W C Marwing,H/V,"Began fairly, ridden to eventually take up running coming out of back straight, gradually weakened out of contention after straightening. (Blood in trachea.)",2013-01-01,1
13,12,SEA FURY  (P048),T Queally,--,"Soon taken back from a wide gate, trailed the field most of way despite saving a lot of ground on the bend, found nil in the run home.",2013-01-01,1
14,4,ARCHER'S BOW  (P055),R Fourie,--,"Broke fairly, raced wide without cover throughout, well there early, yielded ground rounding home bend, fading when tightened over 300 M out, no further impression.",2013-01-01,1
1,4,ISLAND SPRING  (CL238),T Queally,B,"Couldn't go the early speed and settled towards the rear of the field, coursing 3-4 deep with cover. Ran on well towards the outside to claim the prize close to home.",2013-01-01,2
2,11,LOTUS LOVE  (CL155),H W Lai,V,"Raced prominently in 4th position, settling a tight 3 deep with cover. Took some time to wind up in the straight, hit the lead near the 50m, but was nabbed close to the post.",2013-01-01,2
3,9,TREASURE GLITTER  (M031),O Doleuze,B,Rated just behind midfield 3 wide with cover. Peeled out about 5 deep turning for home and ran on soundly.,2013-01-01,2
4,13,SEIZE THE DAY  (CJ152),W C Marwing,SR-/V-/B2,"Enjoyed an uncontested lead on the fence. Was overhauled over about the last 100m, but managed to stay in the frame.",2013-01-01,2
5,5,ALP'S GLORY  (CL433),B Prebble,B/TT,Had a nice run in the race behind the leader in 3rd position on the rails. Didn't quicken over the last 200m after having every hope.,2013-01-01,2
6,6,BAMBOO DANCE  (M327),A Suborics,TT-,"Camped close to midfield, 1 off with cover. Worked home fairly without menacing.",2013-01-01,2
7,14,NEWSWIRE TOO  (CJ040),T H So,B,"Settled in 2nd last position, 2 deep with cover. Made some headway in the straight without threatening.",2013-01-01,2
8,1,FLYING KEEPER  (M191),T Angland,--,"Sent forward and eventually settled in 2nd position, 1 off no cover. Was a spent force after the 150m.",2013-01-01,2
9,8,YOUNG HAPPY  (M305),R Fourie,XB,"Settled back in the field, 1 off with cover. Plodded away at the same pace in the home straight.",2013-01-01,2
10,3,DARK SECRET  (M213),Z Purton,SR/TT,"Settled handy in the run, 2 deep with cover. Raced tight for some distance after the 700m, gave no response in the final stretch. Gave ground in the run to the wire.",2013-01-01,2
11,12,DR UNION  (CK105),W M Lai,B,Never likely after being posted 3-4 deep without cover for most of the trip while racing in about a midfield position. Tired quickly over the latter stages.,2013-01-01,2
12,7,OCEAN BRIGHT  (M270),T Clark,B-/H-/TT,"Travelled in 3rd last position, 3 deep with cover. Weakened noticeable over the final furlong.",2013-01-01,2
13,2,HAIR BEAUTY  (N095),M L Yeung,--,Settled worse than midfield the fence had cover. Struggled in the home straight.,2013-01-01,2
14,10,BELIEVE IN CHANCE  (N133),U Rispoli,TT,"Settled in last position near the rail & failed to pass another runner, finishing tailed out. (Vet reported post-race, horse to be a roarer & to have an irregular heart rhythm.",2013-01-01,2
1,6,MARK TWO  (P065),T Clark,H1,"Camped handy, 3Ls off the pace 2 wide, ran on strongly to take the victory.",2013-01-01,3
2,9,FOREVER AHEAD  (N433),D Whyte,P,"Midfield, 5Ls behind the leader 2 wide, dashed on well to claim 2nd but couldn't match with the winner.",2013-01-01,3
3,5,WINNING BOY  (N186),O Doleuze,SR,"Raced midfield, travelled 4.5Ls behind the leader 3 wide, dashed well over the last furlong to get 3rd.",2013-01-01,3
4,7,APPROVE  (N299),W C Marwing,PC-/B2,"Camped handy, 3Ls behind the leader, however trapped 3 wide without cover throughout, just held ground in the straight.",2013-01-01,3
5,13,CLEMENT SPIRIT  (CL346),M L Yeung,B,"Settled worse than midfield, 6.5Ls off the pace 2 wide, made some late ground.",2013-01-01,3
6,12,BESPOKE MASTER  (CL227),K C Ng,--,"Rolled forward to share the lead, stayed on well until 150M flattened.",2013-01-01,3
7,10,EMPIRE CITY  (CL169),A Suborics,B,"Taken back from a wide gate, travelled 7Ls behind the leader 3 wide, ran on fairly.",2013-01-01,3
8,2,AFRICA LIGHT  (N030),Z Purton,B/TT,"Raced midfield, settled 6Ls off the pace 3 wide, finished off only one pace.",2013-01-01,3
8,3,THE ONLY KID  (CH173),B Prebble,TT,"Eased back, settled 9Ls behind the leader, peeled widest, ran on only fairly. (Rider reported the horse was reluctant to stretch out during the race)",2013-01-01,3
10,11,VIVA GUY  (CK318),T H So,B/TT,"Eased back, settled 7Ls behind the leader on the fence, never ran on.",2013-01-01,3
11,14,MIZZEN GREY  (N192),W M Lai,--,"Settled 3 back on the fence, finished off one pace, weakened 100M.",2013-01-01,3
12,1,SWEET CORNER  (P005),G Mosse,TT,"Box seat, soon weakened after straightening.",2013-01-01,3
13,8,EL GRANDE  (CL378),C Y Ho,B,"Rolled forward to take the rail and lead, weakened badly 300M.",2013-01-01,3
14,4,PROSPEROUS WIN  (N377),R Fourie,B1,"Settled worse than midfield on the fence, never a factor, tailed off.",2013-01-01,3
1,2,TRAVEL BRAND  (N112),Z Purton,B/TT,"Good break, settled back on rail behind midfield, shaken up & switched 4 wide home turn, relentless progress to peg victory on the nod.",2013-01-01,4
2,8,TURBO JEWELLERY  (N379),D Whyte,B/TT,"Sharp start to dispute early lead, camped handy 1 off with cover, 3 wide advance to lead turning for home, kicked on, mugged at wire.",2013-01-01,4
3,4,EAGLE SPIRIT  (CL326),T Clark,CP/XB,"Sharp start to lead on rail 1st turn, headed 1200m, tracked pace 1 back, outpaced final turn, stayed on soundly without threatening.",2013-01-01,4
4,9,JAMESINA  (CH290),C Y Ho,B,"Smart start, settled near rear 1 off with cover, switched wide turning in, sound closer to wire.",2013-01-01,4
5,10,TOWERING STORM  (M401),M Chadwick,B,"Good break, trapped wide, advanced to lead 1200m, taken to rail, headed 430m, boxed on one pace until faded late.",2013-01-01,4
6,6,RIO WILLIE  (N087),U Rispoli,B,"Sharp break, snagged back to rail last pair, switched 1 off 1400m, driven at tail 450m, stayed on for modest gains.",2013-01-01,4
7,1,AMAZINGLY  (N384),T Queally,--,"Missed break, recovered to race handy 5th on fence, off heels 1200m, outpaced home turn, plugged on one pace.",2013-01-01,4
8,7,LET'S GOAL  (M061),T H So,TT,"Fast break to dispute lead, settled close up 2nd 1 off no cover, driven 500m, faded out in stretch.",2013-01-01,4
9,5,SUNSHINE DAY  (N116),G Mosse,TT,"Fair break, taken behind to rail last pair, ridden under pressure home turn, struggled in stretch run.",2013-01-01,4
10,3,LOVING STAR  (M382),O Doleuze,H/CP,"Fair start, raced midfield 1 off with cover, driven 600m, weakened early in stretch & faded right out.",2013-01-01,4
1,1,FULL VALUE  (M413),G Mosse,B,"Smart break, settled 5th 1 off with cover, shaken up 430m, led 250m, drew clear for commanding win.",2013-01-01,5
2,7,MEDIC CHAMPION  (M054),U Rispoli,V/TT,"Fast break, sat 2nd 1 off no cover, edged to lead 400m, all out & headed 250m, battled on to wire.",2013-01-01,5
3,3,RAIN OF THUNDER  (CJ352),Z Purton,BO,"Decent start, camped midfield 1 off with cover, over-raced 1200m, driven in pursuit 350m, ran on soundly to edge 3rd late.",2013-01-01,5
4,6,SABINA  (CK169),R Fourie,B,"Tardy start, raced rail midfield, switched out final turn, hard-ridden 300m, solid progress to wire.",2013-01-01,5
4,14,STARLIT WARRIOR  (M162),H W Lai,B,"Bumped at break, raced midfield 3 deep with cover, switched wide into final turn, closed out soundly to line.",2013-01-01,5
6,2,MR MARFACH  (M067),C Y Lui,CP-/B2,"Slow start, bustled to sit rail behind midfield, switched out & driven 400m, tacked across to centre track for sound gains to wire.",2013-01-01,5
7,12,MR SPEEDY  (M183),T H So,SR-/B2,"Awkward & shifted left at break, pace to lead on fence, headed 400m, boxed on same speed.",2013-01-01,5
8,11,METREVELLI  (M165),W C Marwing,B,"Tardy break, sat 1 off near rear, driven 350m, stayed on evenly centre track without threatening.",2013-01-01,5
9,5,SUNNY SKY  (CL215),D Whyte,B,"Smart start, rolled forward to sit 1 back on fence, driven final turn, head up & hung throughout stretch run.",2013-01-01,5
