Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,1,C P BRAVE  (E306),J McDonald,V,"Sat behind midfield, traveled nicely, obtained clear running inside 350M, made good progress over the final 200M.",2024-01-01,3
2,6,SWAN BAY  (H062),K Teetan,B,"Sat rear, traveled okay, commenced to improve rounding the Turn, responded well when asked, stayed on well to grab 2nd.",2024-01-01,3
3,5,ROMANTIC CHARM  (H227),L Hewitson,V/TT,"Jumped awkwardly, settled midfield on the rail, traveled smoothly, closed off nicely.",2024-01-01,3
4,10,KIMBERLEY  (H329),A Hamelin,PC-/B2/TT,"Ridden along to lead, slightly weakened entering the Straight, ran on evenly.",2024-01-01,3
5,7,U S S CONSTITUTION  (H357),A Atzeni,B/TT,"Sat in front of midfield, traveled okay, one pace to the line.",2024-01-01,3
6,8,AESTHETICISM  (H289),Z Purton,B,"Settled towards rear, lay in in the Straight, finished off fairly (See Incident Report).",2024-01-01,3
7,9,GOLDEN SAMURAI  (H024),C Y Ho,B-/TT,"Sat towards rear, slightly dropped back passing the 700M, no clear run in the early Straight (See Incident Report).",2024-01-01,3
8,3,ENIGMA  (J077),L Ferraris,TT,"Jumped awkwardly, ridden along to sit handy, weakened inside 250M, could not be ridden out.",2024-01-01,3
9,4,ALL IS GOOD  (G269),C L Chau,B,"Settled handy 2 wide, improved rounding the Turn, limited response when placed under pressure, weakened and faded quickly inside 150M.",2024-01-01,3
10,2,SILVER KING  (H420),H Bowman,XB-/TT,"Sat midfield 3 wide, traveled fairly, eased down in the Straight (Roarer, Must BT, See Incident Report).",2024-01-01,3
1,11,FIRE BALL  (D087),Z Purton,CP,"Ridden forward after the start & came across from widest gate to race outside the leader. Moved up to share the lead at the 100m, just held off late closer in final stages to win narrowly.",2024-01-01,4
2,4,STARSHIP EIGHTY  (H022),H Bowman,PC/TT,"Raced just worse than midfield between runners for the majority. Eased wider passing 600m, was about 5L from lead on straightening when still tenth before finishing strongly down the outside to be narrowly beaten into second.",2024-01-01,4
3,10,BEAT HOLLOW  (G414),M Chadwick,--,"Began fast & came across from second widest gate to lead. Raced over a length clear on straightening, held the lead until joined by winner at 100m, battled hard late, only beaten 1.5L.",2024-01-01,4
4,12,BROTHER PEARL  (H030),L Ferraris,--,"Raced in midfield along the rail throughout. Commenced to race keenly passing the 800m, stayed along rail on straightening when 4.5L from lead, made continual ground along rail to steal 4th late.",2024-01-01,4
5,8,CHARMANDER  (G437),C Y Ho,B/TT,Jumped only fairly & then raced near the rail when galloping between runners. Was next to last & nearly 7L from lead on straightening before making good late ground down the outside in final furlong to be beaten under 2L.,2024-01-01,4
6,5,APEX TOP  (D136),C L Chau,B,"Knuckled on jumping before getting a nice run on the leaders back. Continued not far from the lead at the furlong mark, shifted out at 150m (rider suspended) before finishing only evenly in final stages.",2024-01-01,4
7,13,FOXHUNTER WAY  (E296),L Hewitson,--,"Raced in midfield along the rail, steadied away from heals near the 800m. Moved away from rail near 600m, about 3L from lead on straightening, checked when having no room near the 100m but was only going fairly at that stage.",2024-01-01,4
8,2,SPANGLE FORTUNE  (G427),K C Leung,CP/TT,"Had a lovely run 1,1 for the majority. Continued in third place until near the 300m mark before peaking on effort & weakening a few lengths to midfield.",2024-01-01,4
9,6,CASA LEGEND  (G126),A Atzeni,B/XB1/TT,"Slow to begin & was a clear last after the start. Continued rearward on straightening, shifted outward after 400m mark, passed a couple late, never likely (substantial blood in trachea, reluctant to stretch out early –rider).",2024-01-01,4
10,3,PERFECT PEACH  (E488),K Teetan,B/H/TT,"Raced in midfield, three wide but with cover throughout. Entered final section 4L from lead, lay inwards passing 200m when finishing off ok before slightly ungenerous late when already beaten (substantial blood in trachea).",2024-01-01,4
11,1,NORDIC COMBINED  (G015),J McDonald,B/TT,"Was trapped racing three wide without cover in midfield throughout. Straightened under 3L from the lead, dashed well in early part of straight until peaking on run near the 200m & weakening late after wide passage.",2024-01-01,4
12,9,CHARMING STEED  (E494),E C W Wong,H-/P-/TT,"Had a soft run in midfield between runners throughout. Was just over 4L from the lead on straightening, didn't have much room when between runners passing the 150m mark but was already beaten at that point.",2024-01-01,4
13,7,HAPPIHOOD  (H261),M F Poon,B/TT1,"Bumped on jumping before being taken back to race worse than midfield when three deep with cover. Continued back & wide throughout, weakened a further few lengths in the straight.",2024-01-01,4
14,14,JUST GREAT TWO  (G174),K De Melo,CP1,"Jumped awkwardly before being taken back to race at the tail. Was a clear last on straightening when taken outwards to be the widest runner but did nothing in the run to the line, long last.",2024-01-01,4
1,5,DREAM PURSUER  (G241),H Bowman,B,"Began only fairly, raced in midfield on the inside, 4 lengths back, slightly improved along the rail on turn, no clear run early in straight, cleared 150M, showed very good response, hit the front 50M, won by 1/2L.",2024-01-01,5
2,12,LUCKY PLANET  (H235),K Teetan,B,"Jumped awkwardly and shifted in on jumping, positioned 1-1/2L behind the leader on rail, 2 wide turning in, took the lead 300M, kept on well but unable to hold off the winner final 50M.",2024-01-01,5
3,8,GOLDEN RISE  (H242),Z Purton,--,"Out with rest, raced 2 wide slightly behind midfield, 5 lengths or so back, commenced move 500M, finished off well to take a place.",2024-01-01,5
4,7,DIVINE ERA  (D507),K De Melo,H/TT,"Clean jump, raced 2 wide better than midfield, 2 lengths or so back, there to turn, finished off evenly.",2024-01-01,5
5,10,CAN'T GO WONG  (H087),K C Leung,B1/TT,"Began awkwardly and crowded, raced behind midfield on the inside, 6 lengths or so back, a bit closer on turn, unable to obtain clear run until well inside final furlong, made some progress final 100M.",2024-01-01,5
6,9,RIVER VIEWS  (G212),E C W Wong,--,"Away well, raced in 2nd, 2 wide, there to turn, showed limited response early in straight, weakened gradually final 100M. (See Racing Incidents.)",2024-01-01,5
7,1,FUN N GLORY  (G003),M Chadwick,TT,"Jumped with them, raced 2 wide in midfield, similar position on turn, showed limited response early in straight, weakened gradually final 150M. (See Racing Incidents.)",2024-01-01,5
7,11,ISLAND BRIGHT  (H363),L Ferraris,SR1,"Began fairly, sent forward to take the lead, travelled well to turn, peaked and headed 300M, weakened inside final furlong.",2024-01-01,5
9,4,CHILLI BABA  (G339),A Atzeni,B,"Taken back from gate 10, raced towards rear on the outside, 6 lengths or so back, no cover for the majority of the race, made no impression in straight.",2024-01-01,5
10,3,LUCKY GOLD  (G112),C Y Ho,B,"Taken back from a wide draw, raced at rear, 7 to 8 lengths back, same margin back on turn, made no progress in straight.",2024-01-01,5
11,2,UP AND UP  (H163),C L Chau,TT,"Shifted in at start and bumped, raced towards rear on the inside, 7 lengths or so back, angled out 500M, failed to make any progress in straight.",2024-01-01,5
12,6,SHINE BRIGHT  (H385),M F Poon,B1,"Jumped awkwardly, raced at tail, lost touch from halfway, unacceptable performance.",2024-01-01,5
1,3,ENDEARED  (H161),Z Purton,XB,"Jumped well, settled in front of midfield 2 wide, ran on strongly. (See Incident Report)",2024-01-01,6
2,5,CELTIC TIMES  (G230),H Bowman,B/TT,"Settled worse than midfield 3 wide, closed off nicely for 2nd.",2024-01-01,6
3,2,BEATO  (H090),J McDonald,B/TT,"Settled towards the rear, had trouble finding clear running early in the Straight, made good ground when have clear running.",2024-01-01,6
4,8,SMART FIGHTER  (H278),K Teetan,TT,"Jumped okay, ridden along early to be prominent, kept on okay in the Straight.",2024-01-01,6
5,7,GOLDEN BULL  (H019),C L Chau,XB/TT,"Caught 3 wide no cover midfield, ran on fairly. (Roarer)",2024-01-01,6
6,1,WAR OF COURAGE  (C483),K C Leung,B,"Settled just behind the leader, made some progress early in the Straight, and finished off only one pace after 250M.",2024-01-01,6
7,9,KASI FARASI  (B385),L Ferraris,B-,"Settled at the rear on the rail, stayed on okay.",2024-01-01,6
8,12,MACH TEN  (G382),M F Poon,CP,"Settled towards the rear 2 wide, made some late ground. (Lame right hind next morning)",2024-01-01,6
9,13,YOUNG HORIZON  (G272),L Hewitson,--,"Settled in front of midfield on the rail, made little impression.",2024-01-01,6
10,10,YEABOI  (G372),K De Melo,B/TT,"Settled worse than midfield on the rail, unable to quicken in the Straight.",2024-01-01,6
11,11,MORE RICE  (H271),M Chadwick,B2,"Jumped awkwardly and lost ground, settled midfield 2 wide, never a factor.",2024-01-01,6
12,4,SUPER TEN  (D362),E C W Wong,XB/B2,"Jumped well and hard ridden early to take the lead, weakened and faded at 250M.",2024-01-01,6
PU,6,GALVANIC  (H147),C Y Ho,PC-/TT,"Crowded at the start, pulled up soon after. (Performance unacceptable, must trial) (See Incident Report)",2024-01-01,6
1,8,TAJ DRAGON  (H164),A Atzeni,--,"Settled in 6th about 4L off the pace, gained slightly closer to 5th passing the 1000 metres, quickened well inside final 350 metres to assert authority 150 metres out.",2024-01-01,7
2,3,HEALTHY HAPPY  (D435),A Badel,V/TT,"Pressed forward from a poor gate to join the leaders, disputed lead rounding home bend before gaining narrow advantage into home straight, found winner too strong when headed 150 metres out.",2024-01-01,7
3,2,BEAUTY JOY  (E058),J McDonald,H/TT,"Settled one from last in 7th of small field, came under pressure upon straightening and fought on steadily to reach 3rd inside final 100 metres.",2024-01-01,7
4,5,FANTASTIC TREASURE  (E269),L Hewitson,CP/TT,"Settled in 5th on rail some 3L off the pace, lost position passing 1000 metres dropping to 6th onto home bend, saved ground turning in and fought on under pressure inside final 200 metres to narrowly miss a placing.",2024-01-01,7
5,7,ATULLIBIGEAL  (G173),K De Melo,B/H/XB,"Settled in last of the strung-out small field of eight trailing the field until the 150 metres, produced good impression for best work late.",2024-01-01,7
6,6,REWARDING TOGETHER  (D334),M Chadwick,B/TT,"Broke well in front before taken back to 3rd one-out-one-back, kept on on straightening until finding no extra under pressure inside final 200 metres.",2024-01-01,7
7,1,CALIFORNIA SPANGLE  (E314),H Bowman,TT,"Began fairly, recovered steadily along the rail to take slender lead 1200 metres out, narrowly headed into straight and lay in under pressure, crowded 200 metres out and yielded ground.",2024-01-01,7
8,4,RED LION  (H115),K Teetan,--,"Jumped fairly settling not far off the pace in 4th, travelled keenly on the rail behind leaders coming onto home bend, kept on in straight until finding no extra 200 metres out and tightened.",2024-01-01,7
1,4,GLOBAL HARMONY  (G337),J McDonald,CP,"Slow to begin from draw 1, given a patient ride towards the rear, plenty to do top of the straight, brought to outside and finished off strongly to get up close home. Impressive win.",2024-01-01,8
2,3,SWEET ENCOUNTER  (G426),A Atzeni,--,"Held up behind midfield, raced wide no cover from 800M, widest turning home, let down well to lead near 150M, no match for the fast finishing favourite in latter stages and was overrun close home.",2024-01-01,8
3,11,LOST CHILD  (G461),B Avdulla,--,"Settled near last, made nice inroads in the run home, briefly challenged for the lead mid-straight before flattening late.",2024-01-01,8
4,14,HAPPY DAILY  (E294),A Hamelin,--,"5th on settling, stayed close enough to leaders throughout, kept battling from 400M but lacked the dash to launch a serious bid.",2024-01-01,8
5,7,FLYING MOJITO  (G412),L Ferraris,B-/XB/TT1,"Given a waiting ride at the rear, brought wide top of straight, ran on without threatening first few.",2024-01-01,8
6,6,KAHOLO ANGEL  (H216),C Y Ho,TT,"Obtained a 3-wide position ahead of midfield, responded well early straight to lead inside 300M, run ended mid-straight, faded to finish 6th.",2024-01-01,8
7,9,MIDORI BURLY  (J083),Z Purton,XB,"Restrained behind mid-division along the inside, got held up 400M-250M but only got home fairly once obtaining clear running. (Jockey : not suited by the middle stages of the event being run outside of standard time.)",2024-01-01,8
8,13,RAGNARR  (H297),L Hewitson,TT-,"Jumped on terms and soon took up running, caught by rivals inside 300M, weakened away.",2024-01-01,8
9,1,CHIU CHOW SPIRIT  (H175),A Badel,B/TT,"Settled in mid-division 3Ls back along the fence, was badly held up from 400M to 100M behind weakening rivals and lost all chance. (Roarer.)",2024-01-01,8
10,2,I AM THE BOSS  (H446),C L Chau,XB1,"Jumped awkwardly, settled in a midfield position 8th along the 2-path, unable to obtain clear running until 350M but couldn't pick up speed when required.",2024-01-01,8
11,5,VIVA GRACIOUSNESS  (J079),K Teetan,B1/TT1,"Chased leader along the inside, lacked a kick in the straight, soon out of contention.",2024-01-01,8
12,10,SUGAR BALL  (H394),M Chadwick,CP/H/TT,"From draw 11 worked forward to be tracking leader on outside, had no extra passing 300M, weakened towards the line.",2024-01-01,8
13,8,MAJESTIC SPEED  (J018),M F Poon,TT,"Sat in behind midfield 5Ls off the pace on settling, couldn't make any headway over final 400M.",2024-01-01,8
14,12,SAVVY CHIC  (G261),K De Melo,CP/TT,"Caught wide no cover chasing leaders, went 2nd 400M, hung in under pressure in the straight and proved very difficult to ride, swamped by rivals passing 300M.",2024-01-01,8
1,7,WUNDERBAR  (H411),J McDonald,--,"Jumped well, positioned a length behind the leader on rail, saved ground on turn, not enough room early in straight, cleared 250M, took the lead 200M, kept on well to the line, just able to hold off the challenger late.",2024-01-01,9
2,13,KA YING RISING  (J062),Z Purton,--,"Began fairly, raced 2 wide in midfield, similar position on turn, finished off very strongly, just denied in a ding-dong battle.",2024-01-01,9
3,1,MUGEN  (H338),K Teetan,--,"Began only fairly, raced 2 wide, 6 lengths or so back, same margin back on turn, angled out 450M, made good progress in straight to take a place, no threat to the first two.",2024-01-01,9
4,4,COLOURFUL EMPEROR  (H167),L Hewitson,TT,"Began well from the widest draw, raced 2 wide better than midfield, same position on turn, peaked early in straight, ran on evenly to the line.",2024-01-01,9
5,5,PRINCE OF PORTY  (H009),B Avdulla,TT,"Out in line, raced 2 wide behind midfield, 4 to 5 lengths back turning in, made minor progress in straight.",2024-01-01,9
6,14,SUPERB KID  (H298),K De Melo,--,"Began fairly, raced behind midfield on the outside, no cover for the majority of the race, made some progress in straight.",2024-01-01,9
7,3,SUPER FORTUNE  (G065),M F Poon,H/TT,"Jumped well, sent forward to take the lead, led by 3/4L turning in, kept on well early in straight, peaked and headed 200M, weakened thereafter.",2024-01-01,9
8,6,SUGAR SUGAR  (G016),C Y Ho,B/TT,"Taken back from gate 13, raced at rear, 8 to 9 lengths back, still 7 lengths behind the leader turning in, made some progress in straight.",2024-01-01,9
9,8,JUMBO FORTUNE  (G195),M Chadwick,PC/XB,"Moderately away, raced behind midfield on the inside, 2 wide from 500M, showed limited response early in straight, weakened gradually inside final furlong. (See Racing Incidents.)",2024-01-01,9
10,2,NOT USUAL STAR  (G396),E C W Wong,H/TT,"Bumped shortly after start, raced 3 wide at rear, 8 lengths back, very wide into straight, made no impression in straight.",2024-01-01,9
11,10,ACE VICTORY  (H076),A Hamelin,TT,"Jumped well, raced in 2nd, 2 wide, 3/4L back turning in, peaked early in straight, weakened final furlong.",2024-01-01,9
12,11,READY TO WIN  (E422),A Badel,CP/XB/TT,"Bumped shortly after start, raced at rear, 8 lengths or so back, still well back on turn, failed to close off in straight. (See Racing Incidents.)",2024-01-01,9
13,12,ROBOT MASTER  (J107),A Atzeni,CP1/XB1/TT1,"Began awkwardly, raced at rear throughout, never a factor.",2024-01-01,9
14,9,BONUS PAL  (H360),K C Leung,B,"Moderately away from gate 1, raced in midfield on the inside, saved ground on turn, peaked early in straight, weakened thereafter.",2024-01-01,9
1,11,FUN TOGETHER  (H041),C L Chau,CP/TT,"Jumped well, raced in 2nd, easy run to turn, hit the front 300M, kept on well to hold off the challengers.",2024-01-01,10
2,8,BEAUTY FIT  (E279),A Hamelin,E/P,"Slowly away, raced in midfield on the inside, saved ground on turn, finished off well to take 2nd, nearest on line. (See Racing Incidents.)",2024-01-01,10
3,10,SWEET BRIAR  (H044),L Hewitson,B/TT,"Jumped with them, raced 2 wide in midfield, there to turn, no clear run early in straight, cleared 300M, closed off well to take a place.",2024-01-01,10
4,2,AMAZING VICTORY  (G123),K C Leung,H-/TT,"Away well, raced 2 wide behind midfield, similar position on turn, no clear run early in straight, made good progress there. (See Racing Incidents.)",2024-01-01,10
5,5,BLUE MARLIN  (H078),K Teetan,H,"Taken back from gate 14, raced at rear on the outside, there to turn, made some headway in straight. (See Racing Incidents.)",2024-01-01,10
6,9,GREEN N WHITE  (H186),Z Purton,TT,"Away with them, raced better than midfield on the outside, there to turn, hard ridden after passing 350M, kept on well until approaching 150M, weakened gradually final 50M. (See Racing Incidents.)",2024-01-01,10
7,4,CALIFORNIA VOCE  (H258),C Y Ho,TT,"Taken back from gate 13, raced 3 wide with cover at rear, 6 lengths or so back turning in, made good progress in straight.",2024-01-01,10
8,14,CHARITY BINGO  (H254),K De Melo,--,"Jumped only fairly, raced towards rear on the inside, saved ground on turn, made good progress early in straight, peaked on run 100M, weakened gradually thereafter.",2024-01-01,10
9,3,KA YING GENERATION  (J075),A Atzeni,B1,"Jumped awkwardly, raced 2 wide at rear, 6 lengths or so back, same margin back on turn, made some progress in straight.",2024-01-01,10
10,7,SOLID IMPACT  (E447),B Avdulla,B,"Jumped with them, raced in midfield on outer, no cover for the majority of the race, showed limited response early in straight, no clear run 100M, eased thereafter.",2024-01-01,10
11,13,SETANTA  (G095),M Chadwick,B/TT,"Taken back from gate 11, raced at rear on the inside, saved ground on turn, made minor progress in straight.",2024-01-01,10
12,1,FASHION LEGEND  (J080),H Bowman,TT,"Away with them, raced 3 wide with cover behind midfield, similar position on turn, showed limited response early in straight, weakened inside final furlong.",2024-01-01,10
13,6,SUPER WINNER  (C341),K H Chan,TT,"Jumped well from a wide draw, sent forward to take the lead, led by a length on turn, peaked and headed 300M, weakened thereafter. (See Racing Incidents.)",2024-01-01,10
14,12,RATTAN KINGDOM  (G035),M F Poon,B/XB/TT,"Moderately away from gate 1, raced better than midfield on the inside, saved ground on turn, peaked early in straight, weakened final furlong. (Bled.)",2024-01-01,10
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2024-01-01,11
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2024-01-01,12
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2024-01-01,13
1,5,BEAUTY INFINITY  (H377),A Atzeni,--,"Average to begin, positioned 5 lengths behind the leader on the inside, closer on turn, showed very good response in straight, hit the front 100M, kept on strongly to the line.",2024-01-04,1
2,3,KING ECCELLENTE  (G264),K Teetan,SR/XB,"Fast into stride, raced better than midfield on the inside, left in 2nd from 950M, 2-1/2L back on turn, took the lead 200M, kept on well but unable to hold off the winner final 100M.",2024-01-04,1
3,6,HAPPY FEELING  (H443),A Hamelin,B-/SR-/TT,"Began fairly from gate 1, raced at rear on the inside, saved ground throughout, 5 lengths back turning in, made some progress in straight to take a place, no threat to the first two.",2024-01-04,1
4,1,GOLDEN LONG  (H462),M Chadwick,TT,"Slightly slow out, raced behind midfield on the outside, very wide into straight, kept on same pace to the line. (See Racing Incidents.)",2024-01-04,1
5,4,TRIUMPHANT WARRIOR  (H430),C L Chau,TT,"Bumped shortly after start, raced in midfield on the outside early, inconvenienced and dropped to rear near 1000M, 6 lengths or so back on turn, very wide into straight, made no impression in straight.",2024-01-04,1
6,2,SUPER AXIOM  (E105),Y L Chung,H/P/XB2/TT-,"Jumped well, sent forward to take the lead, led by 2-1/2L on turn, peaked early in straight, headed 200M, weakened thereafter.",2024-01-04,1
7,9,ACE TALENT  (H046),L Hewitson,H/TT,"Made contact at start, raced 2 wide better than midfield early, inconvenienced and dropped position 1000M, 4 lengths back turning in, emptied early in straight, eased thereafter. (Blood in trachea.)",2024-01-04,1
8,8,SPICY SO SMART  (G203),H Bentley,B/XB,"Made contact at start, sent forward to race prominently, commenced to buck near 1000M, dropped to tail-end 900M, eased thereafter. (See Racing Incidents.) (Lame right front leg next day.)",2024-01-04,1
1,10,SHINKANSEN  (H277),K Teetan,H/SR/TT,"Settled in rear of midfield, commenced move rounding home bend, quickened well under pressure from 5th into straight to gain upper hand over 50 metres out.",2024-01-04,2
2,3,TRAVEL GOLF  (H063),B Avdulla,B2/TT,"Began well settling over 2L back in 4th, commenced move on top of home bend to hit the front narrowly upon straightening, swamped over 50 metres out.",2024-01-04,2
3,9,COLONEL  (D090),H T Mo,V,"Broke well from the widest draw to soon lead, narrowly headed under pressure 200 metres out, just held on for 3rd.",2024-01-04,2
4,6,HAPPY SOUL  (G249),C L Chau,CP/TT,"Settled in last few from a poor draw, commenced move rounding home bend, sustained good progress in straight to narrowly miss 3rd.",2024-01-04,2
5,2,ROYAL PRIDE  (E351),C Y Ho,B/TT,"Soon dropped to last few despite ridden along, gained slightly closer to 7th passing the 700 metres, saved ground turning in, produced good late impression inside final 100 metres.",2024-01-04,2
6,8,MY INTELLIGENT  (G031),L Hewitson,V/TT,"Began well from the one draw settling one back in 3rd on rail, baulked behind runners upon straightening, unable to quicken to threaten inside final 150 metres.",2024-01-04,2
7,4,FLYING PHANTOM  (J086),A Badel,H,"Settled in 5th 3-wide without cover, became 6th rounding home bend, ran home one-paced.",2024-01-04,2
8,1,YOUTH POWER  (H358),K C Leung,H1,"Settled well back, saved ground turning for home, ran on past well-beaten horses in straight.",2024-01-04,2
9,7,NEW POWER  (H325),A Hamelin,H,"Away slowly from a poor draw, quickly recovered towards rear in 7th or 8th, commenced move very wide approaching home turn, one-paced in straight. (Lame next day)",2024-01-04,2
10,5,LUCKY SYMPHONY  (J089),A Atzeni,TT1,"Ridden forward 3-wide before settling in 2nd just outside race leader, dropped away quickly from a similar position into straight.",2024-01-04,2
1,5,CORDYCEPS ONE  (E107),C Y Ho,--,"Ridden along to sit in front of midfield, traveled smoothly, responded nicely when asked.",2024-01-04,3
2,9,MEDIC ELITE  (G129),A Badel,PC/TT,"Sat rear, angled out rounding the turn, showed some dash inside 200M, closed off nicely.",2024-01-04,3
3,8,ONE HEART ONE  (H004),L Hewitson,CP/XB/TT,"Sat behind midfield, was bumped near 150M, made some progress thereafter.",2024-01-04,3
4,1,BIG TWO  (E310),H Bentley,SR/XB/TT,"Jumped awkwardly, settled towards rear on the rail, traveled okay, crowded for clear running inside 200M, closed off okay.",2024-01-04,3
5,12,JOYFUL CHAMPION  (G072),M F Poon,B2/TT,"Jumped awkwardly, settled in front of midfield, traveled fairly, one pace to the finish.",2024-01-04,3
6,3,ASIAN ONE  (E400),A Atzeni,PC-/XB/V2/TT,"Jumped awkwardly, settled worse than midfield on the rail, ran on fairly.",2024-01-04,3
7,10,HANG'S CHOICE  (E311),K Teetan,B/TT,"Sat towards rear 3 wide, traveled okay, ran on evenly.",2024-01-04,3
8,2,TACTICAL COMMAND  (H197),M Chadwick,--,"Settled towards rear 2 wide, slightly weakened rounding the turn, made no impression.",2024-01-04,3
9,4,HAPPY HUNK  (H101),K C Leung,H/TT,"Settled handy, weakened entering the Straight, never a threat.",2024-01-04,3
10,6,REGENCY HAPPY STAR  (H248),Y L Chung,CP/H/TT,"Sat midfield initially, made a forward move inside 1100M, weakened and faded in the Straight (See Incident Report).",2024-01-04,3
11,11,MISTER ARM  (D491),H T Mo,--,"Jumped okay, ridden along to lead until 1000M, weakened and fade inside 150M.",2024-01-04,3
