Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
1,1,EIGHTY LIGHT YEARS  (H170),E C W Wong,B/TT,"Moderately away from gate 1, sent forward to race prominently, took the lead 800M, enjoyed the easy lead on turn, kept on well in straight to hold off the challengers.",2024-01-01,1
2,13,CHAMPION INSTINCT  (H012),A Atzeni,B,"Bumped start, raced 2 wide behind midfield, 3 to 4 lengths back on turn, finished off strongly to take 2nd, no threat to the winner.",2024-01-01,1
3,4,HANDSOME BOMB  (H402),J McDonald,TT1,"Bumped start, raced 2 wide in midfield, found rail near 750M, saved ground on turn, not enough room until final 100M, finished off well to take a place.",2024-01-01,1
4,6,PANDA  (H466),K Teetan,B,"Began only fairly, positioned 2 wide, 1-1/2L back, found rail near 850M, saved ground on turn, kept on evenly in straight.",2024-01-01,1
5,8,PATCH OF TIME  (H483),Z Purton,TT,"Jumped awkwardly, raced behind midfield on the inside, 2 wide on turn, made some progress in straight.",2024-01-01,1
6,3,GOLDEN LUCK  (H159),H Bowman,XB/TT,"Jumped with them, raced slightly better than midfield on the outside, 2-1/2L back, same margin back on turn, finished off evenly.",2024-01-01,1
7,9,GANGNAM STAR  (H326),M Chadwick,TT,"Taken back from gate 9, raced 2 wide towards rear, 7 lengths or so back, similar position on turn, taken wide in straight and made some progress.",2024-01-01,1
8,2,CALIFORNIA ICON  (H404),A Badel,B1/TT1,"Began fairly, taken back to race at rear on the inside, saved ground on turn, made some progress in straight.",2024-01-01,1
9,10,JOYFUL LIFE  (H426),K C Leung,CP1,"Fast into stride, sent forward to race prominently, 2 wide on turn, peaked early in straight, weakened gradually final furlong. (See Racing Incidents.)",2024-01-01,1
10,12,THE GOOD DEAL  (G025),L Ferraris,SR/TT,"Average to begin, raced in midfield on the inside, steadied near 750M, raced behind midfield on turn, kept on same pace in straight. (See Racing Incidents.)",2024-01-01,1
11,11,HINOKAMI KAGURA  (H384),B Avdulla,H-/B1/TT,"Taken back from a wide draw, raced at rear throughout, never a factor.",2024-01-01,1
12,7,SPICY GOLD  (H440),L Hewitson,--,"Jumped well from a wide draw, took the lead but trapped wide, headed approaching 800M, a length or so back on turn, peaked early in straight, weakened final 250M. (See Racing Incidents.)",2024-01-01,1
13,5,HIGH RISE POWER  (H353),C L Chau,B1,"Away with them, raced 2 wide better than midfield, there to turn, weakened early in straight. (See Racing Incidents.)",2024-01-01,1
1,5,STORM RIDER  (J027),Z Purton,--,Bumped at start before getting lovely run in fifth away from the rail. Charged to the lead at the 150m mark & went clear to win impressively.,2024-01-01,2
2,2,TELECOM DRAGON  (H322),H Bowman,TT,Bumped & unbalanced at start before racing just worse than midfield along the rail. Stayed nearer the rail on straightening when nearly 5L from lead before closing well to move to second at 75m without challenging winner.,2024-01-01,2
3,9,SPEEDY FORTUNE  (H097),B Avdulla,--,"Showed early speed to lead. Raced over a length clear on straightening, continued in lead until passed by winner at 150m, passed for second at 75m, held well beaten third on line.",2024-01-01,2
4,12,CHIU CHOW BROTHER  (E188),A Badel,B,"Strode forward to race second at the leaders quarters. Slipped back to be 1.5L from the lead on straightening as leader skipped clear, battled on in last 300m but ultimately gave ground to be well beaten in 4th.",2024-01-01,2
5,1,HAPPY GOLF  (H056),K C Leung,--,Jumped awkwardly before drifting back after the start & racing worse than midfield away from the rail. Shifted outwards to be the widest runner on straightening when about 6L from lead & held that deficit on the line.,2024-01-01,2
6,8,MULTIDARLING  (H148),H T Mo,TT,"Crowded soon after start before getting position in midfield along rail after improving after first 100m. Was held up around bend, shifted outwards at 350m before finishing off only one paced between rivals in final stages.",2024-01-01,2
7,4,MISTER FOX  (J059),K De Melo,--,"Had a nice run 1,1 for the majority. Only battled in last 300m & ultimately weakening to be beaten 7.5L into midfield.",2024-01-01,2
8,11,SUPER ELITE  (H247),M F Poon,H/XB/CP1,"Began ok but didn't drive for lead & instead raced in midfield away from rail. Was ridden along passing the 500m, was 5L from lead entering last section but only weakened a few lengths, no threat.",2024-01-01,2
9,7,GOLDEN CHAMPION  (H348),C L Chau,CP/TT,"Crowded on jumping, bumped & got back to race at the tail. Shifted out wider on the track on straightening when last & nearly 9L from the lead before passing only a few tiring rivals without ever looking to be in a threat.",2024-01-01,2
10,6,COMMANDING MISSILE  (G210),A Atzeni,H/B2,"Had a nice run fourth on the rail for the majority. Was ridden along before straightening, weakened meekly to be beaten nearly 9L.",2024-01-01,2
11,3,KINGLY DEMEANOR  (H486),L Hewitson,B1/TT1,"Bumped at the start before racing a clear third last the start. Continued rearward & over 8L from the lead on straightening before failing to improve in the straight, second last.",2024-01-01,2
12,10,COURIER MAGIC  (H290),M Chadwick,H/P/TT,"Jumped awkwardly & lost ground before being shifted across behind runners to race at the tail. Continued rearward on straightening when nearly 9L from lead & failed to make any headway, last.",2024-01-01,2
