Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
12,2,KING'S STEED  (S051),M L Yeung,B-/TT,"Midfield early, carried backward passing the 1000 metres, saved ground turning for home, soon faded.",2016-12-07,1
1,1,ALMABABY  (V057),C Y Ho,TT,"Very slow away, struggled to keep up at rear, suited by the fast tempo, closed off strongly 250M to score.",2016-12-07,2
2,6,JOLLY CONVERGENCE  (V293),D Lane,TT,"Eased to rear, took rail, benefited by the fast sectionals, progressed steadily 300M for 2nd.",2016-12-07,2
3,8,SKY MAN  (S091),M Barzalona,--,"Pushed early, midfield, 3 wide, suited by the fast pace, made steady ground 300M.",2016-12-07,2
4,7,MOMENT OF POWER  (V138),H Bowman,--,"Pushed early, stayed 3 wide throughout in the lead, harmed by the fast sectionals, ran on well until 100M flattened.",2016-12-07,2
5,2,SO FAST  (S419),K C Leung,H/P,"Hard ridden early but not muster, trapped 3 wide, suited by the fast tempo, progressed steadily 200M.",2016-12-07,2
6,5,E-SUPER  (T010),Z Purton,--,"Pushed to hold the rail in the lead, harmed by the fast pace, flattened 150M.",2016-12-07,2
7,12,MR RIGHT  (T334),T H So,H/P,"Trapped 4 wide throughout in front of midfield, race on well until 100M flattened.",2016-12-07,2
8,10,WHO'STHEDUDE  (T312),K Teetan,B/TT,"At back, 2 wide, benefited by the fast tempo, lack room 4-2, made steady ground when clear.",2016-12-07,2
9,3,FOREVER RED  (T365),J Moreira,P,"Slow away, hard ridden to keep up at back, 2 wide, benefited by the fast tempo, no dash.",2016-12-07,2
10,4,YOU READ MY MIND  (P041),S De Sousa,XB/TT,"Very slow away, at back along the fence, favoured by the fast pace, never improved.",2016-12-07,2
11,11,OCEAN ROAR  (N317),M L Yeung,--,"Hard ridden forward, 2 wide in the lead, harmed by the fast sectionals, out of fuel 300M.",2016-12-07,2
12,9,TRAVEL COMFORTS  (T209),S Clipperton,TT,"Pushed forward, trapped 3 wide, harmed by the fast pace, emptied 300M.",2016-12-07,2
1,3,LOVE SHOCK  (V287),J Moreira,B1,"Taken back from a wide gate, travelled 6Ls behind the leader on the fence, sung wide turning in, stormed home to score by 1L.",2016-12-07,3
2,7,NUMERO UNO  (S044),D Lane,B/TT,"Crowded start, travelled 4.5Ls behind the leader on the fence, ran on well to get 2nd.",2016-12-07,3
3,2,IRON BOY  (V071),B Prebble,XB,"Eased to settle midfield from a wide gate, travelled 4Ls behind the leader 2 wide with cover, switched wide turning in, ran on nicely for 3rd.",2016-12-07,3
4,6,ROUNDABOUT  (T352),D Whyte,SR,"Raced midfield, travelled 3Ls behind the leader on the fence, ran on steadily for 4th.",2016-12-07,3
5,4,NAVAS  (V362),O Doleuze,XB,"Settled worse than midfield about 5Ls behind the leader 3 wide without cover, made some ground in straight.",2016-12-07,3
6,9,RAINBOW FIGHTER  (N193),S Clipperton,XB/V2/TT,"Raced midfield, travelled 2.5Ls behind the leader 2 wide with cover, one paced home.",2016-12-07,3
7,11,CIRCUIT KING  (T324),M Chadwick,B/H,"Pressed forward to park outside the leader, kept on until weakened final 150M.",2016-12-07,3
8,1,HAPPY YEAH YEAH  (M085),M L Yeung,V,"At rear, travelled 7.5Ls behind the leader on the fence, made minor ground in straight.",2016-12-07,3
9,10,RAICHU  (V414),K Teetan,TT,"At back, checked and lost couple of lengths rounding the Home Turn, never looked likely.",2016-12-07,3
10,8,SHAMAL  (V290),C Y Ho,SR,"Rolled forward to take the lead along the fence, soon weakened after straightening.",2016-12-07,3
11,12,MASTER VIKING  (S385),S De Sousa,V/TT,"Pushed to occupy the box seat, soon weakened after straightening.",2016-12-07,3
12,5,BOTH LUCKY  (T196),N Callan,--,"Prominent, travelled 1L behind the leader 2 wide with cover, emptied soon after straightening. (Questioned trainer for tactics)",2016-12-07,3
1,4,PREMIERE  (A051),H Bowman,SR1,"Began well but not pushed, settling one-off 3L from leader. Got clear run in straight when front-runners fanned out, rolled forward to hit the front 100m, pulled clear.",2016-12-07,4
2,1,SECRET AGENT  (P388),F Geroux,B,Pressed forward 3-wide from an outside draw before cutting in to one-off position 3L from leader around turn. Switched out in straight and ran on solidly.,2016-12-07,4
3,7,POWERMAX  (A009),P Smullen,--,"Began awkwardly, then raced in restricted room before settling along rail in midfield. Stayed on rail in straight and ran on well to be closest at the finish. Had small wound inside right hind fetlock.",2016-12-07,4
4,11,RAY OF GOLD  (N443),M Barzalona,B,"Restrained on jumping and shifted across behind runners from wide barrier, settling at rear. Tagged on to main field around turn, taken to centre track on straightening and ran on steadily.",2016-12-07,4
5,3,YOUNG EMPIRE  (V116),G Lerena,V/TT,"Pushed forward from inside draw to grab box seat on settling, 2L from leader. Tracked leader to straight but only one-paced when asked for an effort.",2016-12-07,4
6,2,TOP BONUS  (T132),M Demuro,TT1,"Hard ridden to lead on settling, then set good pace to straight. Collared 100m out and faded gradually.",2016-12-07,4
7,12,GLORY HORSIE  (M273),K C Leung,B/TT,"Ridden to obtain forward position but trapped 3-wide without cover 2.5L from leader. Shaken up around turn, looked chance 200m, then one-paced.",2016-12-07,4
8,10,MASSIVE MOVE  (T073),D Whyte,V,"Pressed forward from outside draw, racing 3 and 4 wide behind midfield. Took home turn wide, kept wide in straight, one-paced.",2016-12-07,4
9,9,ST YAZIN  (N409),J Moreira,TT,"Crowded for room shortly after start, then checked 600m, dropping to rear. Taken to rail around turn but only one-paced in straight.",2016-12-07,4
10,8,FANTASTIC FABIO  (V364),Z Purton,--,"No early pace, dropping to rear along rail. Improved position around turn, switched out in straight to make run but found little.",2016-12-07,4
