Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,Score range
2,4.0,SMILING WATCH (M325),M L Yeung,K L Man,127,1136,9,SH,11 14 14 2,1:22.77,99,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
3,12.0,FORMULA WON (P183),C Y Ho,C Fownes,116,1063,1,N,8 8 8 3,1:22.80,3.3,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
4,13.0,SUN PINS (P333),C Y Lui,K W Lui,111,1141,5,2-1/4,3 4 2 4,1:23.09,18,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
5,6.0,STAY AHEAD (S163),Z Purton,W Y So,124,1145,12,2-1/4,14 13 13 5,1:23.10,11,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
6,2.0,SWIFT SHADOW (S052),T Angland,J Size,133,1083,2,3-1/2,4 3 5 6,1:23.29,5.3,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
7,10.0,ST YAZIN (N409),W M Lai,T K Ng,120,1059,13,3-1/2,5 6 4 7,1:23.32,63,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
8,14.0,ABSOLUTE FANTASY (M284),C K Tong,Y S Tsui,114,1141,4,3-3/4,6 5 7 8,1:23.32,99,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
9,3.0,HELENE FUN STAR (N105),M Chadwick,A S Cruz,118,1254,10,3-3/4,10 12 11 9,1:23.34,23,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
10,8.0,GRIMMY (P079),K C Ng,C H Yip,118,1096,8,4,1 1 1 10,1:23.37,9.5,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
11,1.0,NICE FOLKS (CL421),O Doleuze,C W Chang,133,1116,7,4,12 10 10 11,1:23.37,16,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
12,9.0,BE THERE AHEAD (S193),T H So,L Ho,119,1003,6,4-1/2,13 11 12 12,1:23.48,99,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
13,7.0,EXCITABLE BOY (P440),N Callan,A Schutz,123,1115,14,5-1/4,2 2 3 13,1:23.58,99,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
14,5.0,PRINCIPAL (P108),J Moreira,J Moore,127,1122,11,6-3/4,7 9 9 14,1:23.83,3.6,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
WV,,GREAT CHARM (P111),G Mosse,R Gibson,129,---,---,---,---,---,---,2014/03/23,ST,11,Class 3,1400M,GOOD,"TURF - ""C+3"" Course",13.34,35.22,59.21,1:22.74,,,13.34,21.88,23.99,23.53,nan,nan,80-60
