Letter,HorseName,Rating,URL
A,ATOMIC BEAUTY,43,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H066
A,ALWAYS FLUKE,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H252
A,ALL ARE MINE,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H293
A,ARTHUR'S KINGDOM,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E194
A,ACCOLADE START,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H331
A,ALL EYES ON ME,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J453
A,APOLAR FIGHTER,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J169
A,ACE TALENT,30,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H046
A,ALMIGHTY KICK,27,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J254
A,ALABAMA SONG,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K480
A,AMO ERGO SUM,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K394
B,BEAUTY ETERNAL,113,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_H008
B,BEAUTY JOY,112,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E058
B,BOTTOMUPTOGETHER,102,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J316
B,BEAUTY WAVES,100,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H294
B,BUNDLE AWARD,92,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K020
B,BABY CRYSTAL,87,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H081
B,BRAVE STAR,84,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G268
B,BRAVEHEARTS,82,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H389
B,BRILLIANT EXPRESS,80,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J321
B,BEAUTY ALLIANCE,77,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J260
B,BUNDLE OF CHARM,76,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G213
B,BEAUTY INFINITY,71,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H377
B,BEAUTY BOLT,66,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K491
B,BEAUTY CRESCENT,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H334
B,BIGTIME GENERATION,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K496
B,BEAUTY GLORY,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E459
B,BLAZING WIND,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J157
B,BIG RETURN,60,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K192
B,BALLISTIC WIN,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J040
B,BASIC INSTINCT,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K289
B,BLAZING WUKONG,59,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K335
B,BEAUTY VIVA,58,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K155
B,BRIGHT DAY,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J530
B,BRIGHT INHERITANCE,57,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J215
B,BEATO,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H090
B,BIENVENUE,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J490
B,BOWSER,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H460
B,BUCEPHALAS,56,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K096
B,BUNTA BABY,55,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J465
B,BULB GENERAL,54,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K218
B,BEAUTY THUNDER,53,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J299
B,BEAUTY MISSILE,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H123
B,BETTER AND BETTER,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K277
B,BIG STRIDE,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K194
B,BILLION TWO,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K212
B,BRAVE WIN,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K421
B,BRIGHT MORTAR,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K333
B,BRILLIANT PATCH,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K419
B,BROWNNEEDSFURTHER,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K325
B,BULLION BLITZ,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K304
B,BULLISH PRIDE,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K181
B,BULL ATTITUDE,49,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K305
B,BEAU CADEAU,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J334
B,BEAUTY LIVE,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G057
B,BLUE BARON,47,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J448
B,BITS SUPERSTAR,46,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J362
B,BLAZING BEAM,46,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K103
B,BLING BLING GENIUS,46,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J397
B,BEAUTY FORMULA,45,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K066
B,BRAVE WITNESS,45,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H425
