Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,9.0,YEE CHEONG LUCKY (B357),K Teetan,A T Millard,120,1051,4,-,6 2 1,1:09.77,3.8,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
2,10.0,EXPONENTS (A031),J Moreira,Y S Tsui,119,1126,7,3-1/4,9 7 2,1:10.30,6.8,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
3,8.0,CORRE RAPIDO (A053),A Hamelin,R Gibson,120,1162,6,3-1/4,4 4 3,1:10.31,12.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
4,11.0,FAIRY FLOSS (C236),Z Purton,K H Ting,120,1056,1,3-1/2,1 1 4,1:10.33,6.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
5,2.0,ADONIS (A324),C L Chau,D J Whyte,121,1083,2,5,5 5 5,1:10.57,3.7,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
6,6.0,ROCHFORD (A208),H T Mo,L Ho,121,1164,8,6,8 11 6,1:10.72,17.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
7,1.0,EVER STRONG (A275),C Y Ho,K L Man,132,1054,11,7-1/4,11 10 7,1:10.91,8.7,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
8,4.0,HEALTHY TREASURE (B482),T H So,P O'Sullivan,128,1189,10,7-1/2,10 6 8,1:10.96,96.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
9,12.0,FORTUNE BUDDY (B444),M L Yeung,T P Yung,118,1083,3,8-3/4,12 12 9,1:11.16,63.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
10,5.0,TANG TREASURE (C390),N Callan,D E Ferraris,127,1025,12,8-3/4,7 9 10,1:11.18,115.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
11,7.0,HARBOUR ALERT (T254),M F Poon,C W Chang,120,1304,9,19-1/2,3 3 11,1:12.88,14.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
12,3.0,JOY AVENUE (C340),K H Chan,C H Yip,124,1177,5,33,2 8 12,1:15.04,61.0,2020/07/01,ST,1,Class 5,1200M,40-0,WET SLOW,1,ALL WEATHER TRACK,23.38,45.75,1:09.77,,,,23.38,22.37,24.02,nan,nan,nan
1,13.0,RED BRICK FIGHTER (C304),J Moreira,D J Hall,124,1072,14,-,4 2 2 1,1:22.08,5.2,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
2,5.0,KELMIMI WINS (C419),M L Yeung,J Moore,130,1073,9,1-1/2,1 1 1 2,1:22.32,41.0,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
3,2.0,YES WE CAN (C307),Z Purton,T P Yung,133,1260,2,2,9 7 6 3,1:22.39,5.3,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
4,11.0,TREASURE CHEST (D008),K H Chan,P F Yiu,120,1055,3,3,3 3 3 4,1:22.54,5.0,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
5,9.0,JOY MASTER (B222),C Y Ho,C Fownes,128,1092,13,3-1/4,14 13 14 5,1:22.61,10.0,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
6,12.0,ROYAL CHOCOLATE (A356),K Teetan,A T Millard,126,1141,7,3-3/4,5 5 5 6,1:22.69,14.0,2020/07/01,ST,2,Class 5,1400M,40-0,GOOD,1,"TURF - ""C"" Course",13.40,34.71,58.17,1:22.08,,,13.40,21.31,23.46,23.91,nan,nan
