Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,3.0,MR GOOD VIBES (H180),K Teetan,D J Hall,133,1048,10,-,10 9 1,1:09.93,6.6,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
2,4.0,TACTICAL COMMAND (H197),A Badel,M Newnham,133,1073,3,1-1/4,9 10 2,1:10.11,6.1,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
3,5.0,COMMANDING MISSILE (G210),C L Chau,C W Chang,130,1211,12,1-1/4,7 7 3,1:10.12,10,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
4,1.0,COLONEL (D090),E C W Wong,P F Yiu,128,1187,7,2,4 4 4,1:10.25,4.6,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
5,7.0,JAZZ CLUB (G285),B Avdulla,K L Man,131,1170,9,2-1/4,11 11 5,1:10.28,12,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
6,6.0,HAPPY TANGO (D075),Y L Chung,Y S Tsui,129,1244,4,2-1/2,3 3 6,1:10.32,7,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
7,12.0,HAPPILY FRIENDS (C533),M Chadwick,W Y So,117,1108,6,3,8 8 7,1:10.41,35,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
8,2.0,KING INVINCIBLE (H199),K C Leung,F C Lor,135,1039,5,5-3/4,6 6 8,1:10.84,10,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
9,10.0,THE GOOD DEAL (G025),B Thompson,D J Whyte,128,1120,1,6-1/4,5 5 9,1:10.93,9.8,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
10,8.0,MULTIMORE (D443),L Hewitson,T P Yung,126,1226,8,12-3/4,1 1 10,1:11.96,38,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
11,11.0,GREAT DAYS (H119),A Hamelin,P C Ng,119,1110,11,13-1/2,2 2 11,1:12.10,9.5,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
WV-A,9.0,GOOD VIEW GLORY (H154),Z Purton,C H Yip,128,---,---,---,---,---,---,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
WV,,RATTAN WORLD (G384),K De Melo,J Richards,129,---,---,---,---,---,---,2024/05/19,ST,1,Class 5,1200M,40-0,GOOD,1,"TURF - ""C+3"" Course",23.19,45.98,1:09.93,,,,23.19,22.79,23.95,nan,nan,nan
1,7.0,THE WINNABE (J251),H Bowman,J Size,131,1213,2,-,5 4 1,1:09.28,4,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
2,5.0,SUPER INFINITY (J320),Z Purton,M Newnham,131,1133,10,1/2,9 8 2,1:09.38,3.7,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
3,10.0,HAPPY FOR ALL (H181),K C Leung,J Richards,129,1097,5,4-1/2,8 7 3,1:10.01,3.9,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
4,9.0,YODA'S CHOICE (J146),C Y Ho,P C Ng,130,1120,7,5,7 9 4,1:10.07,13,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
5,11.0,SKY SONG (J159),M L Yeung,C Fownes,129,1133,6,6,2 2 5,1:10.23,13,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
6,4.0,MIGHTY STRENGTH (H450),A Hamelin,P F Yiu,131,978,1,7-3/4,10 10 6,1:10.51,14,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
7,12.0,CRYSTAL POWERFUL (H068),A Atzeni,W K Mo,124,1131,3,7-3/4,6 6 7,1:10.53,41,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
8,2.0,THE GREAT MASTER (H457),Y L Chung,Y S Tsui,131,1118,9,8-1/2,1 1 8,1:10.64,44,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
9,6.0,TAIHANG SCENERY (J314),C L Chau,C S Shum,129,1159,11,14,4 3 9,1:11.50,16,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
10,8.0,THUNDERBOLTAURUS B (J281),A Badel,D J Hall,131,1051,8,14-1/2,11 11 10,1:11.59,82,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
11,1.0,SAKEWIN (G275),M F Poon,F C Lor,133,1095,4,21-3/4,3 5 11,1:12.78,10,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
WV,3.0,CAMP FIRE (J259),L Hewitson,D J Whyte,131,---,---,---,---,---,---,2024/05/19,ST,2,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.30,45.88,1:09.28,,,,23.30,22.58,23.40,nan,nan,nan
1,2.0,TAJ DRAGON (H164),E C W Wong,P C Ng,126,1044,3,-,4 4 4 1,1:21.56,6.3,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
2,4.0,ATULLIBIGEAL (G173),Z Purton,D J Hall,122,1061,6,SH,6 6 6 2,1:21.59,3.6,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
3,5.0,WONDER KIT (G455),A Atzeni,K W Lui,115,1100,4,N,2 2 2 3,1:21.63,3.6,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
4,6.0,SUPREME LUCKY (G457),M F Poon,C S Shum,114,1218,1,N,5 5 5 4,1:21.63,3.8,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
5,3.0,PACKING TREADMILL (G161),L Hewitson,K W Lui,123,1173,2,1-1/2,1 1 1 5,1:21.80,5.5,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
6,1.0,HEALTHY HAPPY (D435),A Badel,F C Lor,135,1164,5,3-1/4,3 3 3 6,1:22.10,15.0,2024/05/19,ST,3,Class 1,1400M,85+,GOOD,1,"TURF - ""C+3"" Course",13.47,35.42,57.90,1:21.56,,,13.47,21.95,22.48,23.66,nan,nan
1,8.0,GLORY ELITE (H311),K C Leung,K H Ting,126,1202,8,-,1 1 1,1:09.02,6.7,2024/05/19,ST,4,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.44,45.79,1:09.02,,,,23.44,22.35,23.23,nan,nan,nan
2,1.0,LUCY IN THE SKY (J275),K Teetan,Y S Tsui,135,1190,1,3,3 2 2,1:09.51,1.8,2024/05/19,ST,4,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.44,45.79,1:09.02,,,,23.44,22.35,23.23,nan,nan,nan
3,11.0,SUPER BONUS (H259),B Thompson,P C Ng,119,1079,9,5-1/4,2 3 3,1:09.87,24.0,2024/05/19,ST,4,Class 4,1200M,60-40,GOOD,1,"TURF - ""C+3"" Course",23.44,45.79,1:09.02,,,,23.44,22.35,23.23,nan,nan,nan
