Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
11,7.0,OH BRAVO (E037),A Badel,W Y So,131.0,1200,3,6-1/4,10 10 10 12 11,1:50.18,10.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.0,WONDERFUL FANTASY (E326),A Hamelin,K W Lui,133.0,1132,12,7-1/4,12 12 14 13 12,1:50.31,70.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.0,WAH MAY LUCK (E086),J Moreira,A S Cruz,131.0,1133,6,8-1/2,4 6 8 8 13,1:50.54,5.7,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13.0,RIGHTEOUS WIN (D146),M F Poon,P F Yiu,113.0,1124,9,9-1/4,5 5 6 7 14,1:50.62,22.0,2022/01/01,ST,1,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",13.95,36.07,1:00.04,1:24.76,1:49.16,,13.95,22.12,23.97,24.72,24.40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,FLYING ACE (G045),M F Poon,D J Hall,129.0,1191,6,-,3 2 1,1:09.60,2.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.0,LESLIE (E471),H Bentley,P F Yiu,125.0,1143,4,1-1/4,10 10 2,1:09.80,5.9,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.0,BEAUTY LIVE (G057),J Moreira,F C Lor,125.0,1129,8,1-3/4,11 11 3,1:09.87,10.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14.0,WISDOM PATCH (D289),M Chadwick,P O'Sullivan,116.0,1237,14,4,9 9 4,1:10.26,21.0,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,FUN N GLORY (G003),K Teetan,W Y So,125.0,1155,11,4-1/4,6 4 5,1:10.29,8.4,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,TRADER (E287),B Shinn,D A Hayes,133.0,1175,10,5,1 1 6,1:10.42,9.5,2022/01/01,ST,2,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",24.03,46.67,1:09.60,,,,24.03,22.64,22.93,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
