Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
11,9.0,BEST FOR YOU (C223),A Hamelin,Y S Tsui,118.0,1015,10,3-3/4,13 14 14 11,1:22.88,62.0,2022/03/27,ST,8,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.38,34.83,58.55,1:22.29,,,13.38,21.45,23.72,23.74,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,AMAZING NEWS (E123),M L Yeung,C Fownes,116.0,1077,12,4-1/2,12 12 12 12,1:23.01,87.0,2022/03/27,ST,8,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.38,34.83,58.55,1:22.29,,,13.38,21.45,23.72,23.74,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.0,STEEL WIN (E111),M F Poon,C W Chang,118.0,1133,7,14-1/2,5 1 2 13,1:24.62,66.0,2022/03/27,ST,8,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.38,34.83,58.55,1:22.29,,,13.38,21.45,23.72,23.74,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11.0,SALUTATION (D497),J Moreira,J Size,117.0,1146,11,15,1 2 1 14,1:24.70,7.4,2022/03/27,ST,8,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.38,34.83,58.55,1:22.29,,,13.38,21.45,23.72,23.74,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,MY ECSTATIC (E004),K C Leung,F C Lor,131.0,1198,3,-,1 1 1 1,1:22.24,17.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.0,MY INTELLIGENT (G031),H T Mo,L Ho,113.0,1077,1,2,3 3 3 2,1:22.57,25.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,ORIENTAL SMOKE (E467),Z Purton,D A Hayes,133.0,1214,4,3-1/4,6 7 5 3,1:22.76,1.5,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.0,SIXTH GENERATION (G120),B Shinn,C H Yip,124.0,1173,7,4-1/4,8 6 6 4,1:22.93,21.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13.0,LADY FIRST (B013),M F Poon,A S Cruz,117.0,1058,9,4-1/2,9 9 9 5,1:22.94,14.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,HANDSOME TWELVE (E462),C L Chau,T P Yung,129.0,1129,13,4-1/2,13 13 10 6,1:22.96,25.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,KING OF THE COURT (E384),C Y Ho,W Y So,125.0,1124,11,4-1/2,11 11 12 7,1:22.97,31.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,SMILING CITY (D113),M L Yeung,D J Whyte,126.0,1086,5,6-1/2,5 4 4 8,1:23.27,43.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12.0,CASA LEGEND (G126),V Borges,C S Shum,122.0,1096,14,6-1/2,7 8 8 9,1:23.30,63.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8.0,PAINTER (E375),K Teetan,Y S Tsui,126.0,1037,10,7,14 14 14 10,1:23.34,25.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.0,ACCELERANDO (G270),J Moreira,J Size,126.0,1154,8,8-1/4,12 12 11 11,1:23.57,27.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.0,MEGA BONUS (E184),M Chadwick,P F Yiu,126.0,1265,6,10-1/2,2 2 2 12,1:23.91,8.5,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.0,HAPPY MATADOR (G243),R Maia,R Gibson,126.0,1188,12,11-1/4,10 10 13 13,1:24.05,60.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.0,BLISSFUL LIFE (G079),A Badel,K L Man,132.0,1107,2,19,4 5 7 14,1:25.29,89.0,2022/03/27,ST,9,Class 4,1400M,60-40,GOOD,"TURF - ""A+3"" Course",13.59,35.45,59.11,1:22.24,,,13.59,21.86,23.66,23.13,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,BEAUTY LIVE (G057),J Moreira,F C Lor,125.0,1132,9,-,3 2 2 1,1:22.59,2.3,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,SHINING GEM (C058),K C Leung,P F Yiu,130.0,1170,8,N,7 4 3 2,1:22.66,29.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.0,RIGHTEOUS DOCTRINE (C197),M L Yeung,C W Chang,114.0,1193,10,1-1/2,8 8 9 3,1:22.84,45.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,KILINDINI (E236),C L Chau,A T Millard,130.0,1165,7,1-3/4,1 1 1 4,1:22.86,47.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,SEASONS BLISS (E146),C Y Ho,K H Ting,120.0,1249,5,1-3/4,9 9 6 5,1:22.88,9.4,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,CIRCUIT STELLAR (G076),Z Purton,A S Cruz,132.0,1066,1,2,11 10 10 6,1:22.89,3.7,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,RACING FIGHTER (B285),H Bentley,C H Yip,119.0,1206,3,2,6 7 8 7,1:22.91,100.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,DECRYPT (D129),A Hamelin,D A Hayes,124.0,1007,2,2-3/4,5 6 7 8,1:23.03,26.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,BRILLIANT WAY (G215),V Borges,J Size,114.0,1140,4,3,2 3 4 9,1:23.06,3.9,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8.0,ACE ONE (G196),A Badel,D J Whyte,118.0,1171,6,5-1/2,4 5 5 10,1:23.45,44.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9.0,NOWITZKI (G191),L Hewitson,T P Yung,117.0,1031,11,7-3/4,10 11 11 11,1:23.82,205.0,2022/03/27,ST,10,Class 3,1400M,80-60,GOOD,"TURF - ""A+3"" Course",13.45,36.34,59.70,1:22.59,,,13.45,22.89,23.36,22.89,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,MISSION BRAVO (E383),L Ferraris,K H Ting,126.0,1190,5,-,1 1 3 1 1,1:47.45,4.5,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,CHATER PINS (E057),M Chadwick,D A Hayes,115.0,1094,3,3/4,6 5 6 4 2,1:47.57,8.4,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,AMAZING TEENS (E449),Z Purton,J Size,130.0,1072,4,3/4,2 2 2 2 3,1:47.59,2.6,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,UNITE SPIRIT (C494),B Shinn,W Y So,125.0,974,7,1-1/4,8 9 9 8 4,1:47.66,5.5,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,JOYFUL HEART (C227),K C Leung,F C Lor,125.0,1174,1,2-3/4,5 4 4 3 5,1:47.89,16.0,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,PAKISTAN FRIEND (B370),C L Chau,W Y So,124.0,1071,6,3-1/4,4 3 5 5 6,1:47.95,13.0,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,MURRAY'S PARTNERS (B426),K Teetan,C H Yip,122.0,1134,9,4-1/2,9 8 8 7 7,1:48.17,23.0,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,MISTER MONTE (A201),H T Mo,C W Chang,111.0,1073,2,28-1/4,3 6 7 9 8,1:51.98,22.0,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,PERFECT TO GREAT (D327),J Moreira,C Fownes,133.0,1176,8,36,7 7 1 6 9,1:53.20,12.0,2022/03/30,ST,1,Class 4,1800M,60-40,GOOD,ALL WEATHER TRACK,13.64,36.80,1:00.24,1:23.44,1:47.45,,13.64,23.16,23.44,23.20,24.01,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,CROWN AVENUE (V378),B Shinn,C H Yip,128.0,1201,5,-,7 7 5 1,1:38.50,4.4,2022/03/30,ST,2,Class 5,1650M,40-0,GOOD,ALL WEATHER TRACK,28.28,51.37,1:14.92,1:38.50,,,28.28,23.09,23.55,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,SPEED FORCE (C535),J Moreira,C W Chang,120.0,1076,11,1,9 10 8 2,1:38.65,3.8,2022/03/30,ST,2,Class 5,1650M,40-0,GOOD,ALL WEATHER TRACK,28.28,51.37,1:14.92,1:38.50,,,28.28,23.09,23.55,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,LONDON LUCKYSTAR (C368),K C Leung,L Ho,125.0,1057,9,1-1/4,4 4 2 3,1:38.69,11,2022/03/30,ST,2,Class 5,1650M,40-0,GOOD,ALL WEATHER TRACK,28.28,51.37,1:14.92,1:38.50,,,28.28,23.09,23.55,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
