Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15
1,8.0,MASTER FAY (E162),J Moreira,C Fownes,126.0,1185,11,-,7 6 1,1:09.68,1.6,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.0,TRAVEL GLORY (E170),V Borges,C W Chang,126.0,1047,1,2-1/2,5 4 2,1:10.09,122,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14.0,BRILLIANT (C005),K C Leung,C H Yip,118.0,1015,3,3-3/4,8 9 3,1:10.29,21,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,JOYFUL WIN (D451),T Piccone,P F Yiu,126.0,1130,2,4,1 1 4,1:10.31,72,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.0,VIGOR CHAMP (C498),Z Purton,K H Ting,121.0,998,13,4,13 10 5,1:10.34,6.7,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,CHAMPION PRIDE (B049),B Shinn,D E Ferraris,123.0,1307,7,5-1/4,10 11 6,1:10.53,35,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,CHIRON (E151),C Soumillon,D A Hayes,126.0,1152,5,5-1/2,6 5 7,1:10.56,9.6,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,GOLDEN BOLT (E042),K Teetan,D J Whyte,126.0,1032,8,6,12 8 8,1:10.62,60,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.0,FORTUNE CARRIER (E187),A Badel,C S Shum,126.0,1145,10,6,2 2 9,1:10.63,12,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,BRILLIANT CHINA (D486),C Schofield,T P Yung,126.0,1059,12,6-1/2,14 13 10,1:10.74,36,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,FULL SAILING (C337),H T Mo,Y S Tsui,123.0,1157,6,7-1/4,4 7 11,1:10.84,202,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.0,OH BRAVO (E037),A Hamelin,W Y So,126.0,1173,4,7-1/4,9 12 12,1:10.85,25,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7.0,KRAYT'S GOLD (E049),C Y Ho,F C Lor,126.0,1007,9,9,11 14 13,1:11.10,130,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13.0,HERO STAR (D033),N Callan,K L Man,120.0,1114,14,11,3 3 14,1:11.42,12,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,DURHAM STAR (E082),M Chadwick,P O'Sullivan,126.0,---,---,---,---,---,---,2021/01/01,ST,1,Class 4,1200M,60-40,GOOD,"TURF - ""B+2"" Course",23.73,46.34,1:09.68,,,,23.73,22.61,23.34,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.0,DIAMOND RHYME (B183),C Y Ho,F C Lor,126.0,1068,1,-,4 6 4 1,1:22.60,3.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.0,WINS ALL (C388),K Teetan,W Y So,121.0,1116,9,1/2,1 1 1 2,1:22.69,4.9,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,MASTER HERO (D501),J Moreira,A S Cruz,127.0,1108,14,1-3/4,12 11 8 3,1:22.90,11.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,DONC JE SUIS (E155),B Shinn,D A Hayes,126.0,1179,7,2-1/2,11 12 12 4,1:23.00,87.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14.0,DIAMOND STAR (D017),A Badel,J Size,119.0,1024,10,3,13 13 13 5,1:23.07,60.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,EL JEFE (C466),K C Leung,C H Yip,128.0,1116,11,3-1/2,14 14 11 6,1:23.17,12.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,HELLO BEAUTY (B410),Z Purton,K L Man,132.0,1182,3,3-3/4,2 4 3 7,1:23.21,3.8,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,MONSTER KAKA (B319),C L Chau,D J Hall,123.0,1014,5,4,7 7 5 8,1:23.24,9.2,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,PRECISION DREAM (D410),H T Mo,T P Yung,120.0,1050,6,5-3/4,3 5 7 9,1:23.52,333.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13.0,CRUCIATUS (C206),H N Wong,C W Chang,116.0,1120,12,6-3/4,6 3 2 10,1:23.69,192.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10.0,SUPER BULLET (D001),M L Yeung,P O'Sullivan,122.0,1130,4,8,9 8 9 11,1:23.86,74.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.0,CIGARY (D512),T Piccone,Y S Tsui,126.0,1083,2,9-1/4,8 9 6 12,1:24.08,44.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.0,OURGOLDENRULES (E050),V Borges,D J Whyte,126.0,1170,8,9-3/4,10 10 10 13,1:24.18,180.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PU,12.0,NATURAL WINNER (C489),M Chadwick,R Gibson,120.0,1292,13,---,5 2 14,---,18.0,2021/01/01,ST,2,Class 4,1400M,60-40,GOOD,"TURF - ""B+2"" Course",13.68,35.35,58.88,1:22.60,,,13.68,21.67,23.53,23.72,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,EXPLOSIVE WITNESS (B001),A Badel,C Fownes,113.0,1191,4,-,3 4 1,0:56.66,7.5,2021/01/01,ST,3,Group Three,1000M,,GOOD,"TURF - ""B+2"" Course",13.40,34.26,56.66,,,,13.40,20.86,22.40,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,STRONGER (D142),C Soumillon,D J Whyte,120.0,1119,3,N,5 3 2,0:56.72,3.3,2021/01/01,ST,3,Group Three,1000M,,GOOD,"TURF - ""B+2"" Course",13.40,34.26,56.66,,,,13.40,20.86,22.40,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,BIG PARTY (B461),K Teetan,F C Lor,128.0,1262,2,N,4 5 3,0:56.73,11.0,2021/01/01,ST,3,Group Three,1000M,,GOOD,"TURF - ""B+2"" Course",13.40,34.26,56.66,,,,13.40,20.86,22.40,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,AMAZING STAR (B019),T Piccone,K H Ting,125.0,1183,1,1/2,1 2 4,0:56.76,13.0,2021/01/01,ST,3,Group Three,1000M,,GOOD,"TURF - ""B+2"" Course",13.40,34.26,56.66,,,,13.40,20.86,22.40,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,COMPUTER PATCH (D139),J Moreira,A S Cruz,133.0,1105,5,2-3/4,2 1 5,0:57.12,1.6,2021/01/01,ST,3,Group Three,1000M,,GOOD,"TURF - ""B+2"" Course",13.40,34.26,56.66,,,,13.40,20.86,22.40,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.0,YES WE CAN (C307),Z Purton,T P Yung,132.0,1265,8,-,11 9 10 7 1,1:48.82,6.8,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.0,PROUD SKY (V406),J Moreira,L Ho,115.0,1088,3,1-1/4,7 8 6 5 2,1:49.03,7.5,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,DRAGON COMMANDER (C208),K C Leung,Y S Tsui,128.0,1086,13,2,13 14 14 10 3,1:49.13,18,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,SPEED FORCE (C535),C Soumillon,D J Whyte,133.0,1070,1,2-1/4,3 4 3 3 4,1:49.17,7.6,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,SOCKET ELITE (C362),K Teetan,C H Yip,124.0,1067,2,3-1/4,2 5 7 6 5,1:49.34,6,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,FORTUNE PATROL (A245),V Borges,A T Millard,123.0,1044,14,3-3/4,8 1 1 2 6,1:49.42,22,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13.0,YOUNG GLORY (B292),H W Lai,D E Ferraris,114.0,1266,11,4-1/4,10 12 13 14 7,1:49.51,66,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,GREAT SMART (C319),A Badel,K L Man,130.0,1229,12,4-1/4,9 11 11 13 8,1:49.52,7,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,ENJOYABLE SUCCESS (B150),A Hamelin,Y S Tsui,119.0,1077,4,4-3/4,12 10 9 8 9,1:49.56,35,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,THE JOY OF GIVING (A249),M L Yeung,C W Chang,115.0,1019,7,5,4 7 8 11 10,1:49.60,29,2021/01/01,ST,4,Class 5,1800M,40-0,GOOD,"TURF - ""B+2"" Course",14.18,36.30,1:00.09,1:24.50,1:48.82,,14.18,22.12,23.79,24.41,24.32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
