Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15
9,2.0,SUNSET WATCH (C502),C Y Ho,K W Lui,128.0,1186,12,5,10 12 9,0:57.42,38.0,2021/09/08,HV,7,Class 3,1000M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",12.59,33.63,56.63,,,,12.59,21.04,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,YOUNG PASSION (D380),H T Mo,D J Hall,112.0,1164,6,6,11 8 10,0:57.58,227.0,2021/09/08,HV,7,Class 3,1000M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",12.59,33.63,56.63,,,,12.59,21.04,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,TRADER (E287),A Badel,D A Hayes,114.0,1176,8,6-3/4,3 5 11,0:57.69,5.3,2021/09/08,HV,7,Class 3,1000M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",12.59,33.63,56.63,,,,12.59,21.04,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.0,OUR CREED (D464),M L Yeung,K H Ting,120.0,1016,2,9-1/4,5 7 12,0:58.13,36.0,2021/09/08,HV,7,Class 3,1000M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",12.59,33.63,56.63,,,,12.59,21.04,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,DECISIVE TWELVE (D280),A Badel,W Y So,122.0,1144,1,-,1 1 1,1:09.53,2.5,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.0,SMILING CITY (D113),M L Yeung,D J Whyte,115.0,1100,2,2,3 4 2,1:09.85,9.2,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,TRANSCENDENT (D126),C L Chau,A S Cruz,123.0,1075,10,2-1/4,11 11 3,1:09.90,18,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,THE RUNNER (D042),K C Leung,F C Lor,125.0,1115,5,3-1/4,4 5 4,1:10.03,6.4,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,MERIDIAN GENIUS (C067),M F Poon,A T Millard,115.0,1149,7,3-1/2,8 9 5,1:10.08,8.3,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,HARRIER JET (T372),V Borges,P O'Sullivan,118.0,1129,4,4,5 6 6,1:10.17,32,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
