Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Handicap,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6
1,12.0,TSUEN WAN GLORY (E403),P N Wong,K L Man,106,1080,8,-,2 2 1 1,1:21.70,7.1,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
2,2.0,CASHISCASH (J369),L Hewitson,D J Whyte,133,1021,4,1-1/2,3 3 3 2,1:21.93,9.9,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
3,6.0,FAIRY HORSE (J144),H Bowman,C Fownes,131,1111,2,5-3/4,8 8 7 3,1:22.62,3.8,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
4,10.0,JOYFUL FRIENDSHIP (H295),L Ferraris,P F Yiu,124,1123,10,6,9 9 9 4,1:22.67,10.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
5,1.0,KA YING POWER (H169),A Atzeni,T P Yung,134,1120,1,6-1/4,6 5 4 5,1:22.70,11.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
6,13.0,YOO YOO KNIGHT (H053),M Chadwick,W K Mo,116,1114,6,7,4 4 5 6,1:22.83,15.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
7,11.0,TIMESTORM (G109),Z Purton,D J Hall,123,1057,14,8,14 14 13 7,1:22.98,11.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
8,4.0,FOREMOST TEDDY (J058),M F Poon,C S Shum,133,1216,13,8,7 6 6 8,1:22.99,21.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
9,9.0,ALMIGHTY KICK (J254),K C Leung,K W Lui,124,1068,3,9-3/4,5 7 8 9,1:23.25,7.6,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
10,8.0,HAPPY TANGO (D075),E C W Wong,Y S Tsui,121,1250,5,11-1/4,1 1 2 10,1:23.49,34.0,2025/05/18,ST,1,Class 5,1400M,40-0,GOOD TO FIRM,1,"TURF - ""C+3"" Course",13.49,35.71,58.92,1:21.70,,,13.49,22.22,23.21,22.78,nan,nan
